,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
0,BD06,70.6%,1,5,11,106.0,50.0%,0,0,4,111.0,60.0%,2,5,23,114.0,50.0%,0.0,0.0,4.0,105.0,44.4%,0,0,9,90.0,44.4%,0,0,9,90.0,2016
1,bd20,66.7%,0,0,3,101.0,100.0%,0,1,1,114.0,40.0%,0,2,3,110.0,100.0%,0.0,0.0,1.0,99.0,60.0%,0,2,3,101.0,60.0%,0,2,3,101.0,2016
2,BA47,75.0%,3,3,6,118.0,0.0%,0,0,0,0.0,83.3%,3,0,3,124.0,100.0%,0.0,0.0,3.0,93.0,50.0%,0,0,2,99.0,50.0%,0,0,2,99.0,2016
3,c977,88.9%,3,3,3,123.0,50.0%,0,1,1,131.0,75.0%,1,4,3,123.0,60.0%,0.0,0.0,5.0,95.0,40.0%,0,1,4,88.0,40.0%,0,1,4,88.0,2016
4,CG80,42.9%,1,1,5,124.0,0.0%,0,0,0,0.0,100.0%,0,2,3,115.0,0.0%,0.0,0.0,0.0,0.0,16.7%,0,1,5,96.0,16.7%,0,1,5,96.0,2016
5,e831,75.0%,0,4,4,109.0,50.0%,0,0,2,104.0,66.7%,0,1,8,108.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,1,9,86.0,60.0%,0,1,9,86.0,2016
6,F510,62.5%,0,4,4,115.0,0.0%,0,0,1,118.0,33.3%,0,1,2,116.0,0.0%,0.0,0.0,2.0,105.0,50.0%,0,2,6,93.0,50.0%,0,2,6,93.0,2016
7,F811,60.0%,2,1,7,113.0,33.3%,0,0,3,109.0,50.0%,0,3,3,115.0,40.0%,0.0,0.0,5.0,103.0,66.7%,0,0,6,89.0,66.7%,0,0,6,89.0,2016
8,gb88,50.0%,2,4,12,112.0,50.0%,0,0,2,108.0,55.6%,2,1,6,119.0,57.1%,0.0,1.0,6.0,95.0,44.4%,0,0,9,90.0,44.4%,0,0,9,90.0,2016
9,K435,66.7%,0,3,3,113.0,50.0%,0,2,2,115.0,81.8%,0,4,7,96.0,100.0%,0.0,1.0,0.0,95.0,25.0%,0,0,4,95.0,25.0%,0,0,4,95.0,2016
