,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
0,DH50,50.0%,0,2,8,119.0,0.0%,0,0,3,113.0,66.7%,0,1,5,110.0,100.0%,0,1,0,104.0,20.0%,0,1,4,95.0,20.0%,0,1,4,95.0,2021
1,E687,66.7%,1,0,8,111.0,57.1%,0,2,5,111.0,66.7%,0,2,13,109.0,0.0%,0,0,0,0.0,30.8%,0,2,11,92.0,30.8%,0,2,11,92.0,2021
2,FB98,44.4%,1,2,15,127.0,0.0%,0,0,1,127.0,78.6%,3,1,10,130.0,50.0%,0,3,3,109.0,44.4%,0,0,9,100.0,44.4%,0,0,9,100.0,2021
3,F724,84.6%,1,4,8,120.0,0.0%,0,0,1,124.0,61.5%,0,1,12,117.0,33.3%,0,0,3,105.0,20.0%,0,1,4,93.0,20.0%,0,1,4,93.0,2021
4,HB71,69.2%,3,1,9,126.0,0.0%,0,0,0,0.0,72.2%,0,4,14,132.0,100.0%,0,0,1,95.0,33.3%,0,1,8,97.0,33.3%,0,1,8,97.0,2021
5,MM58,50.0%,0,1,7,119.0,0.0%,0,0,0,0.0,57.1%,3,1,10,126.0,66.7%,0,0,3,112.0,66.7%,0,1,5,80.0,66.7%,0,1,5,80.0,2021
6,n409,81.8%,1,4,6,122.0,28.6%,0,0,7,111.0,58.8%,1,3,13,107.0,0.0%,0,0,1,101.0,66.7%,0,3,3,88.0,66.7%,0,3,3,88.0,2021
7,N771,33.3%,0,1,2,121.0,50.0%,0,0,2,114.0,42.9%,0,1,6,107.0,100.0%,0,0,1,96.0,62.5%,0,2,6,93.0,62.5%,0,2,6,93.0,2021
8,RE44,55.6%,0,2,7,122.0,0.0%,0,0,0,0.0,71.4%,0,1,6,129.0,0.0%,0,0,1,102.0,50.0%,0,0,2,90.0,50.0%,0,0,2,90.0,2021
9,RH16,45.5%,2,1,8,122.0,100.0%,0,0,1,132.0,80.0%,1,0,9,126.0,0.0%,0,0,1,110.0,0.0%,0,0,2,92.0,0.0%,0,0,2,92.0,2021
10,A0E2,68.8%,3,1,12,132.0,0.0%,0,0,0,0.0,66.7%,2,4,6,136.0,50.0%,0,1,5,119.0,20.0%,0,1,4,109.0,66.7%,0,1,5,106.0,2020
11,A479,66.7%,1,5,9,104.0,66.7%,0,1,5,103.0,72.7%,0,3,8,116.0,25.0%,0,0,4,98.0,50.0%,0,2,8,88.0,50.0%,0,0,4,92.0,2020
12,A678,42.9%,0,2,5,111.0,50.0%,0,1,1,103.0,100.0%,0,1,5,109.0,100.0%,0,1,1,95.0,60.0%,0,1,4,86.0,25.0%,0,0,8,86.0,2020
13,A596,50.0%,1,2,7,118.0,0.0%,0,0,1,116.0,50.0%,0,1,1,118.0,33.3%,0,1,5,99.0,50.0%,0,0,4,91.0,33.3%,0,0,6,90.0,2020
14,AG37,68.8%,3,2,11,127.0,0.0%,0,0,0,0.0,66.7%,2,1,6,126.0,66.7%,0,1,2,118.0,33.3%,0,1,2,102.0,57.1%,0,0,7,98.0,2020
15,B837,71.4%,2,1,4,121.0,0.0%,0,0,1,125.0,33.3%,1,0,2,121.0,33.3%,0,0,3,104.0,66.7%,0,1,5,100.0,0.0%,0,0,1,100.0,2020
16,be67,40.0%,1,0,4,119.0,0.0%,0,0,1,127.0,66.7%,1,0,2,114.0,50.0%,0,0,2,102.0,50.0%,0,0,4,85.0,71.4%,0,0,7,85.0,2020
17,BD06,33.3%,0,0,6,123.0,50.0%,0,0,2,111.0,66.7%,0,0,3,116.0,50.0%,0,0,2,111.0,33.3%,0,0,6,101.0,0.0%,0,0,2,101.0,2020
18,bh09,77.8%,0,3,6,124.0,44.4%,0,0,9,120.0,66.7%,2,3,10,110.0,66.7%,0,1,2,94.0,50.0%,0,0,6,100.0,0.0%,0,0,5,98.0,2020
19,bd20,75.0%,0,1,3,114.0,0.0%,0,0,1,118.0,83.3%,0,4,2,118.0,50.0%,0,1,1,101.0,0.0%,0,0,2,94.0,0.0%,0,0,4,85.0,2020
20,b747,50.0%,2,6,20,114.0,71.4%,0,0,7,102.0,55.2%,1,5,23,115.0,0.0%,0,0,1,102.0,42.1%,0,4,15,91.0,44.4%,0,3,6,88.0,2020
21,BE90,68.0%,2,4,19,122.0,33.3%,0,0,3,114.0,50.0%,5,2,11,127.0,60.0%,0,1,4,118.0,66.7%,0,1,8,98.0,63.6%,0,1,10,94.0,2020
22,BA47,53.1%,3,4,25,118.0,50.0%,0,0,2,105.0,66.7%,1,3,8,126.0,45.5%,0,1,10,104.0,37.5%,0,1,7,96.0,60.0%,0,2,3,99.0,2020
23,BK40,72.7%,1,2,8,121.0,25.0%,0,1,3,122.0,85.7%,1,4,9,111.0,100.0%,0,0,1,106.0,100.0%,0,0,1,98.0,0.0%,0,0,1,97.0,2020
24,b676,76.9%,4,3,6,130.0,0.0%,0,0,0,0.0,87.5%,2,3,3,133.0,0.0%,0,0,0,0.0,40.0%,0,1,9,115.0,50.0%,0,0,2,75.0,2020
25,CD85,61.5%,1,3,9,114.0,0.0%,0,0,0,0.0,57.1%,0,0,14,117.0,100.0%,0,1,2,100.0,50.0%,0,0,4,91.0,33.3%,0,0,6,86.0,2020
26,A0E2,45.5%,1,1,9,108.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0,0,4,98.0,75.0%,0,0,4,92.0,22.2%,0,1,8,93.0,2019
27,A479,54.5%,2,9,0,135.0,20.0%,0,5,0,132.0,20.0%,0,5,0,132.0,0.0%,0,0,0,0.0,50.0%,0,4,0,106.0,0.0%,0,0,0,0.0,2019
28,A678,20.0%,0,0,5,114.0,100.0%,0,1,1,107.0,100.0%,0,1,1,107.0,100.0%,0,1,1,104.0,100.0%,0,1,0,85.0,37.5%,0,0,8,89.0,2019
29,A596,62.5%,0,1,7,127.0,0.0%,0,0,2,125.0,0.0%,0,0,2,125.0,50.0%,0,0,2,107.0,60.0%,0,0,5,106.0,33.3%,0,1,2,107.0,2019
30,AG37,65.0%,6,4,10,121.0,100.0%,0,0,1,132.0,100.0%,0,0,1,132.0,0.0%,0,0,2,111.0,60.0%,0,1,9,90.0,100.0%,0,0,3,91.0,2019
31,B837,72.7%,3,4,4,125.0,50.0%,0,1,5,115.0,50.0%,0,1,5,115.0,100.0%,0,1,1,104.0,50.0%,0,1,5,102.0,0.0%,0,0,3,103.0,2019
32,be67,84.6%,6,6,14,123.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,66.7%,0,0,6,98.0,33.3%,0,0,6,92.0,100.0%,0,0,2,89.0,2019
33,BD06,86.7%,2,5,8,113.0,66.7%,0,0,3,116.0,66.7%,0,0,3,116.0,100.0%,0,1,0,112.0,61.5%,0,2,11,94.0,22.2%,0,2,6,96.0,2019
34,bh09,83.3%,4,4,4,122.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,100.0%,0,1,1,108.0,0.0%,0,0,0,0.0,100.0%,1,1,1,91.0,2019
35,bd20,37.5%,2,1,5,120.0,0.0%,0,0,2,126.0,0.0%,0,0,2,126.0,66.7%,0,1,2,100.0,57.1%,0,0,7,90.0,50.0%,0,1,3,90.0,2019
36,b747,40.0%,0,3,12,123.0,33.3%,0,0,3,118.0,33.3%,0,0,3,118.0,100.0%,0,0,3,111.0,23.1%,0,2,11,92.0,66.7%,0,2,4,94.0,2019
37,BE90,46.2%,6,4,16,132.0,66.7%,0,0,6,135.0,66.7%,0,0,6,135.0,0.0%,0,0,2,123.0,0.0%,0,0,2,130.0,66.7%,0,4,5,127.0,2019
38,BA47,61.5%,2,2,9,114.0,66.7%,0,3,6,116.0,66.7%,0,3,6,116.0,100.0%,0,1,0,101.0,50.0%,0,1,21,91.0,72.7%,0,3,8,91.0,2019
39,BK40,76.9%,5,4,17,124.0,100.0%,0,1,0,129.0,100.0%,0,1,0,129.0,50.0%,0,0,2,111.0,50.0%,0,1,7,88.0,53.3%,1,3,11,98.0,2019
40,b676,42.9%,0,2,12,109.0,44.4%,0,2,16,96.0,44.4%,0,2,16,96.0,50.0%,0,2,4,91.0,33.3%,0,0,6,88.0,50.0%,0,0,4,84.0,2019
41,CD85,75.0%,0,1,3,120.0,80.0%,0,0,5,116.0,80.0%,0,0,5,116.0,0.0%,0,0,1,103.0,100.0%,0,0,1,99.0,50.0%,0,0,6,89.0,2019
42,CE25,50.0%,0,2,8,120.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,100.0%,0,0,2,111.0,40.0%,0,1,4,96.0,50.0%,0,0,2,95.0,2019
43,cf01,50.0%,1,1,2,132.0,100.0%,0,0,1,135.0,100.0%,0,0,1,135.0,25.0%,0,0,4,109.0,0.0%,0,0,3,103.0,50.0%,0,0,8,94.0,2019
44,A0E2,33.3%,0,1,2,117.0,50.0%,0,1,1,101.0,50.0%,0,0,4,102.0,33.3%,0,1,2,117.0,50.0%,0,1,1,101.0,50.0%,0,0,4,102.0,2018
45,A479,0.0%,0,0,1,117.0,58.8%,0,4,13,95.0,100.0%,0,1,0,95.0,0.0%,0,0,1,117.0,58.8%,0,4,13,95.0,100.0%,0,1,0,95.0,2018
46,A678,0.0%,0,0,0,0.0,66.7%,0,0,6,95.0,50.0%,0,2,4,96.0,0.0%,0,0,0,0.0,66.7%,0,0,6,95.0,50.0%,0,2,4,96.0,2018
47,A596,50.0%,0,1,1,107.0,0.0%,0,0,2,104.0,66.7%,0,0,3,98.0,50.0%,0,1,1,107.0,0.0%,0,0,2,104.0,66.7%,0,0,3,98.0,2018
48,AG37,0.0%,0,0,2,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,0.0%,0,0,2,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,2018
49,B837,100.0%,0,0,1,109.0,20.0%,0,0,5,94.0,45.5%,0,1,10,94.0,100.0%,0,0,1,109.0,20.0%,0,0,5,94.0,45.5%,0,1,10,94.0,2018
50,be67,0.0%,0,0,1,108.0,66.7%,0,6,12,90.0,40.0%,0,0,5,93.0,0.0%,0,0,1,108.0,66.7%,0,6,12,90.0,40.0%,0,0,5,93.0,2018
51,BD06,0.0%,0,0,0,0.0,100.0%,0,1,4,94.0,0.0%,0,0,4,93.0,0.0%,0,0,0,0.0,100.0%,0,1,4,94.0,0.0%,0,0,4,93.0,2018
52,bh09,0.0%,0,0,0,0.0,50.0%,0,0,2,77.0,66.7%,0,0,6,81.0,0.0%,0,0,0,0.0,50.0%,0,0,2,77.0,66.7%,0,0,6,81.0,2018
53,bd20,50.0%,0,0,2,108.0,100.0%,0,0,3,93.0,75.0%,0,2,6,100.0,50.0%,0,0,2,108.0,100.0%,0,0,3,93.0,75.0%,0,2,6,100.0,2018
54,b747,64.3%,1,3,10,105.0,45.5%,0,1,10,92.0,56.2%,0,1,15,92.0,64.3%,1,3,10,105.0,45.5%,0,1,10,92.0,56.2%,0,1,15,92.0,2018
55,BE90,66.7%,0,0,3,115.0,83.3%,0,0,6,96.0,75.0%,1,4,7,98.0,66.7%,0,0,3,115.0,83.3%,0,0,6,96.0,75.0%,1,4,7,98.0,2018
56,BA47,100.0%,0,0,1,105.0,50.0%,0,0,6,100.0,0.0%,0,0,0,0.0,100.0%,0,0,1,105.0,50.0%,0,0,6,100.0,0.0%,0,0,0,0.0,2018
57,BK40,0.0%,0,0,0,0.0,50.0%,0,1,1,80.0,40.0%,0,1,4,93.0,0.0%,0,0,0,0.0,50.0%,0,1,1,80.0,40.0%,0,1,4,93.0,2018
58,b676,66.7%,0,0,3,99.0,33.3%,0,0,6,83.0,60.0%,0,1,4,82.0,66.7%,0,0,3,99.0,33.3%,0,0,6,83.0,60.0%,0,1,4,82.0,2018
59,CD85,33.3%,0,0,3,104.0,0.0%,0,0,1,95.0,57.1%,0,2,5,95.0,33.3%,0,0,3,104.0,0.0%,0,0,1,95.0,57.1%,0,2,5,95.0,2018
60,CE25,60.0%,2,0,3,123.0,33.3%,0,1,2,112.0,40.0%,0,1,9,115.0,60.0%,2,0,3,123.0,33.3%,0,1,2,112.0,40.0%,0,1,9,115.0,2018
61,A0E2,88.9%,2,3,4,127.0,40.0%,0,0,5,118.0,71.4%,2,3,2,127.0,33.3%,0,1,2,117.0,20.0%,0,0,20,99.0,33.3%,0,1,2,110.0,2017
62,A479,100.0%,0,2,4,107.0,60.0%,0,1,4,115.0,75.0%,0,2,10,115.0,0.0%,0,0,1,117.0,50.0%,0,1,1,90.0,100.0%,0,1,4,93.0,2017
63,A678,71.4%,1,1,5,120.0,0.0%,0,0,2,119.0,75.0%,1,1,10,122.0,0.0%,0,0,0,0.0,50.0%,0,0,4,88.0,62.5%,0,0,8,88.0,2017
64,A596,50.0%,0,1,3,116.0,90.0%,0,1,9,107.0,50.0%,0,3,15,107.0,50.0%,0,1,1,107.0,40.0%,0,0,5,82.0,50.0%,0,1,3,83.0,2017
65,AG37,56.5%,3,3,17,118.0,100.0%,0,0,1,115.0,76.5%,5,7,5,125.0,0.0%,0,0,2,101.0,66.7%,0,0,3,90.0,35.7%,0,0,14,94.0,2017
66,B837,55.6%,1,1,7,122.0,0.0%,0,0,2,119.0,72.7%,0,3,8,109.0,100.0%,0,0,1,109.0,0.0%,0,0,0,0.0,44.4%,0,2,7,87.0,2017
