,Year,Hard,Clay,Carpet,Grass,draw_size,winner_hand,winner_ht,winner_age,loser_hand,loser_ht,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2004,0.0,0.0,0.0,1.0,32,1.0,185.0,29.2,0.0,188.0,17.3,3,112.0,7.0,7.0,88.0,57.0,39.0,18.0,16.0,3.0,7.0,15.0,12.0,118.0,70.0,45.0,22.0,16.0,10.0,15.0,81.0,496.0,248.0,148.0
1,2004,0.0,1.0,0.0,0.0,32,1.0,183.0,22.8,0.0,188.0,17.1,3,90.0,0.0,7.0,74.0,39.0,22.0,18.0,10.0,6.0,10.0,4.0,6.0,65.0,40.0,20.0,6.0,9.0,2.0,8.0,65.0,630.0,368.0,83.0
2,2004,0.0,1.0,0.0,0.0,32,1.0,188.0,17.3,0.0,173.0,26.7,3,146.0,4.0,2.0,91.0,60.0,39.0,19.0,14.0,2.0,5.0,0.0,2.0,93.0,62.0,40.0,16.0,14.0,7.0,10.0,272.0,128.0,67.0,623.0
3,2004,0.0,1.0,0.0,0.0,32,1.0,175.0,22.4,0.0,188.0,17.3,3,155.0,1.0,2.0,107.0,61.0,34.0,25.0,15.0,14.0,19.0,3.0,1.0,98.0,62.0,37.0,14.0,15.0,5.0,11.0,54.0,714.0,272.0,128.0
5,2005,1.0,0.0,0.0,0.0,48,1.0,188.0,18.4,0.0,198.0,24.2,3,19.0,1.0,1.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,12.0,8.0,1.0,3.0,3.0,5.0,85.0,488.0,37.0,853.0
6,2005,1.0,0.0,0.0,0.0,48,1.0,188.0,18.4,1.0,180.0,27.1,3,105.0,12.0,2.0,82.0,51.0,38.0,19.0,11.0,4.0,5.0,4.0,2.0,74.0,49.0,34.0,12.0,10.0,6.0,8.0,85.0,488.0,9.0,1834.0
7,2005,1.0,0.0,0.0,0.0,48,1.0,180.0,23.5,0.0,188.0,18.4,3,81.0,6.0,3.0,57.0,33.0,27.0,11.0,9.0,3.0,4.0,4.0,3.0,78.0,41.0,27.0,15.0,10.0,9.0,13.0,21.0,1370.0,85.0,488.0
8,2005,1.0,0.0,0.0,0.0,32,1.0,188.0,18.4,1.0,175.0,24.8,3,105.0,4.0,3.0,80.0,51.0,37.0,12.0,11.0,5.0,7.0,5.0,5.0,90.0,65.0,38.0,14.0,11.0,6.0,9.0,88.0,468.0,105.0,398.0
9,2005,1.0,0.0,0.0,0.0,32,1.0,168.0,24.7,0.0,188.0,18.4,3,114.0,2.0,1.0,76.0,58.0,46.0,9.0,12.0,1.0,2.0,13.0,3.0,95.0,64.0,44.0,15.0,12.0,9.0,11.0,24.0,1160.0,88.0,468.0
10,2005,0.0,0.0,0.0,1.0,64,1.0,183.0,25.0,0.0,188.0,18.2,3,127.0,13.0,5.0,97.0,62.0,49.0,16.0,15.0,3.0,5.0,10.0,1.0,92.0,55.0,45.0,20.0,16.0,1.0,3.0,18.0,1385.0,97.0,440.0
11,2005,0.0,1.0,0.0,0.0,32,1.0,188.0,18.1,0.0,190.0,32.1,3,63.0,1.0,0.0,52.0,36.0,26.0,13.0,9.0,4.0,4.0,1.0,1.0,41.0,25.0,17.0,7.0,8.0,1.0,4.0,97.0,417.0,163.0,259.0
12,2005,0.0,1.0,0.0,0.0,32,1.0,183.0,25.4,0.0,188.0,18.1,3,78.0,0.0,2.0,55.0,43.0,30.0,6.0,9.0,2.0,4.0,1.0,6.0,62.0,37.0,22.0,8.0,9.0,10.0,15.0,28.0,1170.0,97.0,417.0
13,2005,0.0,1.0,0.0,0.0,128,1.0,188.0,18.0,0.0,183.0,22.6,5,78.0,6.0,2.0,58.0,39.0,29.0,12.0,10.0,1.0,2.0,4.0,4.0,80.0,45.0,22.0,11.0,11.0,7.0,16.0,153.0,287.0,71.0,550.0
14,2005,0.0,1.0,0.0,0.0,128,1.0,175.0,23.3,0.0,188.0,18.0,5,114.0,0.0,7.0,84.0,59.0,37.0,10.0,11.0,8.0,12.0,3.0,3.0,80.0,42.0,23.0,17.0,12.0,5.0,11.0,9.0,2040.0,153.0,287.0
15,2005,0.0,0.0,1.0,0.0,128,1.0,188.0,18.0,0.0,185.0,21.2,5,113.0,2.0,5.0,94.0,65.0,53.0,16.0,16.0,2.0,3.0,4.0,5.0,97.0,63.0,44.0,18.0,14.0,7.0,10.0,128.0,337.0,68.0,577.0
16,2005,0.0,0.0,1.0,0.0,128,1.0,188.0,18.0,0.0,188.0,22.0,5,248.0,8.0,4.0,173.0,105.0,75.0,31.0,26.0,9.0,18.0,6.0,5.0,182.0,108.0,76.0,33.0,26.0,10.0,17.0,128.0,337.0,81.0,513.0
17,2005,0.0,0.0,1.0,0.0,128,1.0,175.0,27.0,0.0,188.0,18.0,5,171.0,7.0,3.0,140.0,79.0,60.0,35.0,22.0,3.0,4.0,6.0,4.0,126.0,88.0,66.0,21.0,22.0,6.0,9.0,27.0,1215.0,128.0,337.0
18,2005,0.0,0.0,0.0,1.0,128,1.0,188.0,18.2,0.0,193.0,18.9,5,237.0,3.0,5.0,179.0,119.0,81.0,29.0,26.0,12.0,16.0,22.0,5.0,147.0,78.0,67.0,39.0,26.0,1.0,3.0,97.0,431.0,43.0,825.0
19,2005,0.0,0.0,0.0,1.0,128,1.0,188.0,18.2,0.0,196.0,21.4,5,207.0,6.0,4.0,138.0,85.0,64.0,26.0,22.0,3.0,7.0,8.0,3.0,133.0,88.0,64.0,20.0,20.0,8.0,13.0,97.0,431.0,24.0,1230.0
