,ref,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
0,BD06,60.0%,1,6,18,117.0,50.0%,0,1,3,115.0,68.8%,2,7,23,104.0,53.3%,0.0,0.0,15.0,91.0,50.0%,0,0,10,94.0,50.0%,0,0,10,94.0,2016
1,bd20,60.0%,0,2,3,114.0,60.0%,0,0,5,114.0,66.7%,1,1,1,102.0,50.0%,0.0,1.0,3.0,98.0,60.0%,0,1,4,99.0,60.0%,0,1,4,99.0,2016
2,BA47,71.4%,0,1,6,128.0,0.0%,0,0,0,0.0,72.7%,2,3,6,110.0,45.5%,0.0,3.0,8.0,98.0,75.0%,0,0,4,95.0,75.0%,0,0,4,95.0,2016
3,c977,75.0%,2,1,5,129.0,100.0%,0,1,0,129.0,71.4%,2,5,7,114.0,62.5%,0.0,1.0,7.0,87.0,75.0%,0,2,2,93.0,75.0%,0,2,2,93.0,2016
4,CG80,66.7%,1,0,5,126.0,0.0%,0,0,1,41.0,50.0%,2,0,6,116.0,50.0%,0.0,1.0,7.0,103.0,100.0%,0,1,1,106.0,100.0%,0,1,1,106.0,2016
5,e831,40.0%,0,1,9,113.0,50.0%,0,1,3,108.0,72.7%,0,6,5,106.0,0.0%,0.0,0.0,1.0,92.0,37.5%,0,1,7,92.0,37.5%,0,1,7,92.0,2016
6,F510,75.0%,0,1,7,119.0,100.0%,0,1,1,109.0,71.4%,0,2,5,109.0,57.1%,0.0,1.0,6.0,96.0,100.0%,0,0,2,92.0,100.0%,0,0,2,92.0,2016
7,F811,53.8%,0,1,12,111.0,100.0%,0,0,1,110.0,53.3%,0,5,10,107.0,63.6%,0.0,2.0,9.0,94.0,0.0%,0,0,1,91.0,0.0%,0,0,1,91.0,2016
8,gb88,89.5%,5,5,9,120.0,0.0%,0,0,2,108.0,70.0%,0,5,15,103.0,42.9%,0.0,0.0,14.0,87.0,75.0%,0,0,8,93.0,75.0%,0,0,8,93.0,2016
9,K435,87.5%,1,4,3,120.0,71.4%,0,3,4,114.0,40.0%,2,0,8,107.0,66.7%,0.0,0.0,3.0,94.0,42.9%,0,1,6,94.0,42.9%,0,1,6,94.0,2016
10,l397,62.5%,0,1,7,124.0,75.0%,0,1,3,124.0,83.3%,0,0,6,122.0,57.1%,0.0,0.0,7.0,93.0,50.0%,0,1,1,94.0,50.0%,0,1,1,94.0,2016
11,MC65,66.7%,1,1,1,133.0,50.0%,1,0,1,125.0,85.7%,0,1,6,108.0,20.0%,0.0,0.0,5.0,98.0,60.0%,0,2,3,98.0,60.0%,0,2,3,98.0,2016
12,MA30,71.4%,3,7,11,116.0,0.0%,0,0,0,0.0,80.0%,4,7,9,121.0,60.0%,0.0,1.0,4.0,101.0,38.1%,0,4,17,101.0,38.1%,0,4,17,101.0,2016
13,mc10,89.3%,7,9,12,129.0,100.0%,0,0,1,107.0,61.1%,1,3,14,111.0,58.8%,0.0,3.0,14.0,92.0,16.7%,0,0,6,92.0,16.7%,0,0,6,92.0,2016
14,n409,53.3%,1,4,10,108.0,55.2%,0,6,23,107.0,74.1%,3,7,17,109.0,75.0%,0.0,3.0,9.0,87.0,40.0%,0,0,5,87.0,40.0%,0,0,5,87.0,2016
15,N552,57.1%,3,7,25,116.0,55.0%,0,5,15,111.0,60.5%,3,8,32,102.0,56.0%,0.0,1.0,24.0,84.0,46.7%,0,2,13,86.0,46.7%,0,2,13,86.0,2016
16,PD07,75.0%,3,1,4,128.0,0.0%,0,0,0,0.0,68.8%,4,2,10,118.0,33.3%,0.0,0.0,3.0,108.0,66.7%,0,1,2,109.0,66.7%,0,1,2,109.0,2016
17,r975,75.9%,6,10,13,138.0,71.4%,0,2,5,132.0,74.2%,6,11,14,119.0,18.2%,0.0,1.0,10.0,103.0,23.5%,0,1,16,108.0,23.5%,0,1,16,108.0,2016
18,R612,90.0%,2,4,4,123.0,0.0%,0,0,2,106.0,83.3%,0,2,4,107.0,37.5%,0.0,0.0,8.0,80.0,33.3%,0,1,5,82.0,33.3%,0,1,5,82.0,2016
19,A0E2,68.8%,4,3,9,127.0,0.0%,0,0,0,0.0,70.0%,3,3,4,117.0,61.5%,0.0,2.0,11.0,101.0,0.0%,0,0,4,96.0,0.0%,0,0,0,0.0,2015
20,A479,66.7%,0,2,4,122.0,0.0%,0,0,0,0.0,69.2%,3,5,5,110.0,50.0%,0.0,0.0,4.0,94.0,50.0%,0,0,2,98.0,0.0%,0,0,0,0.0,2015
21,A678,60.0%,0,9,31,117.0,88.9%,0,4,5,116.0,75.8%,4,10,19,107.0,62.5%,0.0,5.0,19.0,96.0,50.0%,0,4,12,96.0,71.4%,0,3,4,96.0,2015
22,A596,71.4%,2,6,13,129.0,33.3%,0,0,3,118.0,78.9%,1,7,11,115.0,40.6%,0.0,0.0,32.0,99.0,55.6%,0,0,9,98.0,0.0%,0,0,2,104.0,2015
23,AG37,90.0%,0,4,6,129.0,100.0%,0,1,1,119.0,66.7%,1,4,4,121.0,60.0%,0.0,1.0,4.0,104.0,0.0%,0,0,3,101.0,66.7%,0,1,2,106.0,2015
24,B837,55.6%,3,1,5,124.0,100.0%,0,2,0,114.0,40.0%,0,0,5,114.0,22.2%,0.0,1.0,8.0,90.0,0.0%,0,0,3,94.0,100.0%,0,1,0,93.0,2015
25,be67,100.0%,0,0,2,128.0,0.0%,0,0,0,0.0,61.1%,5,1,12,113.0,100.0%,0.0,0.0,1.0,90.0,40.0%,0,1,4,91.0,62.5%,0,1,15,89.0,2015
