,0
Carlos Alcaraz,"Section: Early life (1):
Carlos Alcaraz Garfia was born on May 5, 2003 in El Palmar, Murcia, Spain to parents Carlos and Virginia. He has three siblings. He started playing tennis at the Real Sociedad Club de Campo de Murcia  where his father was the tennis academy director. In 2018, he began playing at Juan Carlos Ferrero's Equelite JC Ferrero Sport Academy.
Subsections (0):
"
Nicolas Almagro,"Section: Personal life (1):
Almagro married Rafi Lardín on 6 December 2015. They welcomed their first child, a boy, in 2017.
Subsections (0):
"
Kevin Anderson,"Section: Arts and entertainment (1):
Kevin Anderson (actor) (born 1960), American actor
Kevin J. Anderson (born 1962), American science fiction author
Kevin Anderson (tenor) (fl. 1990s), American opera singer
Kevin Anderson (cinematographer), Australian cinematographer and filmmaker
Kevin T. Anderson, American musician
Subsections (0):
"
Pablo Andujar,"Section: Personal life (1):
He trained in Valencia, Spain at the Tennis Club El Collao.
Between March 2016 and April 2017, Andújar underwent three elbow surgeries.
Subsections (0):
"
Felix Auger-Aliassime,"Section: Early life (1):
Auger-Aliassime was born in Montreal and raised in L'Ancienne-Lorette, a suburb of Quebec City. His father Sam Aliassime is of African descent and emigrated from Togo, and his mother Marie Auger is of French-Canadian descent. He has an older sister Malika who also plays tennis. He started playing tennis at 4 and trained at the Club Avantage as a member of the Académie de Tennis Hérisset-Bordeleau in Quebec City. In 2012, he won the Open Super Auray in the age 11 to 12 category. He has been a member of Tennis Canada's National Training Centre in Montreal since the fall of 2014.
Subsections (0):
"
Marcos Baghdatis,"Section: Personal and early life (1):
Baghdatis was born in Paramytha, Cyprus, to a Lebanese father, Christos, and a Greek Cypriot mother, Androula. He has two brothers—Petros and Marinos—and a sister, Zena, who was adopted by his family at just six months old. His father, a native Lebanese (Antiochian Greek Christian) who follows Greek Orthodox Christianity, emigrated to Cyprus from Lebanon and owns a clothes shop. He began playing tennis at the age of five with his father and brothers. He grew up idolizing tennis players Pat Rafter, Andre Agassi and Pete Sampras. He enjoys playing and watching football and is a supporter of Apollon Limassol in Cyprus. He trained at the Mouratoglou Tennis Academy in Paris on an Olympic Solidarity Youth Development Programme Scholarship since the age of 14 and learned to speak French.Baghdatis received the 2005 Cyprus Male Athlete of the Year award. On 28 January 2006, he received an exemption from the otherwise mandatory Cypriot national service so that he could concentrate on tennis.
On 14 July 2012, Baghdatis married the Croatian former tennis player Karolina Šprem. They had their first child, a daughter Zahara, on 20 October 2012, a second daughter, India, on 17 December 2015, and a son, Zeus.
Subsections (0):
"
Mirza Basic,"Section: ATP World Tour Finals (1):

Subsections (1):
Section: Singles: 1 (1 title) (2):

Subsections (0):
"
Roberto Bautista Agut,"Section: Tennis career (1):

Subsections (12):
Section: Juniors (2):
As a junior, Bautista Agut compiled a singles win–loss record of 41–13, reaching as high as No. 47 in junior world rankings in July 2006.
Subsections (0):

Section: 2009–2012: Pro tour highlights (2):
In 2009, Bautista Agut qualified for the ATP 500 tournament in Valencia, where he lost to Albert Montañés in the first round.
He qualified for his first Grand Slam appearance in the 2012 Australian Open. He lost in the first round to Ricardo Mello in straight sets. On 13 August 2012, Bautista Agut broke into the top 100 for the first time after strong performances in Challenger tournaments. He reached his first ATP-level quarterfinal at St. Petersburg later that year, losing to Fabio Fognini.
Subsections (0):

Section: 2013: First final (2):
His first tournament of 2013, in Chennai, saw him reach his first career ATP final. Bautista Agut defeated world No. 6, Tomáš Berdych, in the quarterfinals in three sets and faced world No. 9, Janko Tipsarević, in the final, to whom he lost despite winning the first set.
Bautista Agut then followed with his then career-best Grand Slam performance at the Australian Open. After defeating Fabio Fognini in a first round five-setter, he fell to Jürgen Melzer in the second round.
At Roland Garros, he reached the third round, after failing to even qualify at the main event for three consecutive occasions. His run ended to local Jérémy Chardy.
At the Topshelf Open, Bautista Agut went through to the quarterfinals, before losing to Xavier Malisse.
At the Wimbledon, he went on to make another second-round appearance after defeating Russian qualifier Teymuraz Gabashvili in the first round. However, he fell to his childhood idol, David Ferrer, in the second round, losing in four sets.
Bautista Agut then took part at the Mercedes Cup in Stuttgart. He made it to the semifinal where he lost to eventual champion Fabio Fognini.
On 15 July, Bautista Agut broke the top 50 for the first time.
At the US Open, he achieved another second round finish. After beating Thomaz Bellucci in the first round, he faced Ferrer in the second, where Bautista Agut lost in four sets.
He finished the year with a quarterfinal appearance at the St. Petersburg Open, defeated by eventual champion Ernests Gulbis.
Bautista Agut finished the 2013 season ranked No. 58.
Subsections (0):

Section: 2014: First two titles and top 15 (2):
His 2014 campaign began in Auckland, where he made the semifinals of the Heineken Open. He lost to third seed and eventual champion John Isner after winning the first set.
Bautista Agut started at the Australian Open with a first-round victory over Tim Smyczek. In the second, he faced and upset world No. 5 Juan Martín del Potro in five sets, his first victory against a top-ten player.

These surprising performances earned him a call-up to Spain for their clash with Germany in the Davis Cup. Bautista Agut lost both of his rubbers to Philipp Kohlschreiber and Daniel Brands. Germany won the tie 4–1.
In March, Bautista Agut participated in the first Masters 1000 event of the year at Indian Wells. In the second round, he faced Tomáš Berdych and achieved his second top-ten win of the year, winning in three sets after losing the first. His tournament ended in the fourth round with a defeat to Ernests Gulbis.
In May, Roberto participated in the Madrid Masters. He made it to the tournament's semifinals after beating former top-ten players, Tommy Robredo, Fernando Verdasco, and an in-form Barcelona finalist Santiago Giraldo en route to this stage. In the semifinal, Bautista Agut was defeated by world No. 1, Rafael Nadal.Roberto then played in the French Open. This was his first Grand Slam tournament where he was one of the top 32 seeded players, seeded 27th. Bautista Agut beat Paolo Lorenzi, and Frenchman Benoît Paire but he was unable to beat world No. 6 Tomáš Berdych, ending his tournament in the third round after a four-set defeat.
In preparation for Wimbledon, he played in the Topshelf Open, a grass-court tournament in 's-Hertogenbosch, as the third seed. Bautista Agut won his first ATP title there, defeating former champion Benjamin Becker in the final in three sets.He then played in the Wimbledon Championships. After defeating Steve Johnson and Jan Hernych, his run ended at the hands of the defending champion Andy Murray in the third round.
He went back to playing on clay courts as the third seed in the Mercedes Cup in Stuttgart. In the semifinal, Bautista Agut recorded an upset, beating defending champion Fabio Fognini for the second time in his career. This result led him to take on Lukáš Rosol in the final, his third professional ATP tournament final. Bautista Agut won in three sets, claiming his second 250-level title.In the US Open, Bautista Agut reached the fourth round, after defeating Andreas Haider-Maurer, Tim Smyczek, and Adrian Mannarino on the way to taking on the No. 2 seed Roger Federer. He lost in straight sets. This was his best ever US Open campaign and he equaled his best career Grand Slam result (2014 Australian Open).
Bautista Agut went to Russia to play in the Kremlin Cup tournament held in Moscow. He advanced to the final where he took on the 2014 US Open champion, Marin Čilić, in the final. His tournament ended with a tight straight-set defeat.After his outstanding season, Bautista Agut won the ATP's Most Improved Player award.At the end of the best season in his career so far, he finished 2014 with a singles ranking of world No. 15, and a doubles ranking of No. 255.
Subsections (0):

Section: 2015: Out of top 20 (2):
Bautista Agut began his new season, as the third seed, in the Aircel Chennai Open. He progressed to the semifinal where he lost to British qualifier Aljaž Bedene.
In February, Bautista Agut traveled to France to play in the Open 13 tournament in Marseille. His tournament ended in the semifinals against local Gaël Monfils.
In April, Bautista Agut travelled to Spain to play on the clay courts at the Barcelona Open. He made it to the quarterfinals where he was defeated in a tight three-setter by defending champion Kei Nishikori.
Later that month, he travelled to Germany to play in the BMW Open in Munich. Bautista Agut progressed to the semifinals where he lost to top seed Andy Murray.
One month later, he travelled to England to play in the year's third major. Bautista Agut was the 20th seed in Wimbledon, and advanced to the fourth round to take on seven-time Wimbledon champion and tournament second seed, Roger Federer, after wins over Ruben Bemelmans, Benoît Paire, and Nikoloz Basilashvili. Bautista Agut lost in straight sets.
In July, he played as the second seed in the Croatia Open and advanced to the semifinals where he was defeated by João Sousa.
In September, Bautista Agut was the 23rd seed in the US Open. After victories over Pierre-Hugues Herbert, Pablo Carreño Busta, and David Goffin, he reached the fourth round of a major for a second consecutive time. He took on the world number one, Novak Djokovic, losing in a four-set defeat. However, Bautista Agut had managed to repeat his best performance in New York for a second consecutive year.
He then played in the St. Petersburg Open where he was the fourth seed. He lost in the semifinals to second seed Miloš Raonić.
He was the second seed in the Kremlin Cup, and in a repeat of the previous years final, Bautista Agut lost against Marin Čilić by the same scoreline (4–6, 4–6).
He was the seventh seed in the Valencia Open. With most of the seeds falling early, it was a shock draw with Bautista Agut being the only seeded player remaining by the semifinals. Bautista Agut reached the final where he led by a set and a break against João Sousa but failed to consolidate, going on to lose the match, which was the trend of his 2015 season in decisive matches.At the end of 2015, he finished outside the top 20 with a ranking of 25.
Subsections (0):

Section: 2016: Two titles, back to top 20, first Masters final (2):
In the ASB Classic, Bautista Agut knocked out defending Champion Jiri Vesely, third seeded American John Isner and second seeded Frenchman Jo-Wilfried Tsonga, his first top-ten scalp in two years, on his way to the final where he took on talented American Jack Sock. He was crowned champion after the American retired in the second set.
In the Australian Open Bautista Agut was seeded 24th. After defeating Martin Kližan and Dušan Lajović, he took on 12th seed Marin Čilić in the third round. He earned his first ever win over Čilić in a shock straight-sets result setting up a match-up with the sixth seed, Tomáš Berdych. Bautista Agut lost in a tough five setter, denying him a chance at his first Grand Slam quarterfinal.
His first tournament after the Australian Open was the Garanti Koza Sofia Open based in Bulgaria. Bautista Agut was the top seed and made it all the way to the final where he took on Serbian second seed Viktor Troicki. He won the match and became the inaugural Garanti Koza Sofia Open champion. This was his fourth career title and second title in 2016.
In May, Bautista Agut played in the year's second major as the 14th seed. He reached the fourth round of the French Open after he defeated Dmitry Tursunov, Paul-Henri Mathieu, and Borna Ćorić. His quest for a place in a Grand Slam quarterfinal was again ended by a top-ten player, this time by world number one, Novak Djokovic. This result was his best result at the French Open and equals his best at Grand Slam level.
In early August, Bautista Agut was a representative for Spain at the Olympic Games. He advanced to the quarterfinals in Rio de Janeiro after beating Andrey Kuznetsov, Paolo Lorenzi, and Gilles Müller in the earlier rounds. His quest for an Olympic medal ended after a defeat against the eventual silver-medalist Juan Martín del Potro.
Later that month, Bautista Agut reached the final of the Winston-Salem Open in which he lost to compatriot Pablo Carreño Busta in three sets.
In the penultimate Masters 1000 event of the year, the Shanghai Masters, Bautista Agut made it to his first Masters-1000 final, defeating Bernard Tomic (who was forced to retire because of abdominal pain), qualifier Taylor Fritz, Viktor Troicki, 2015 finalist Jo-Wilfried Tsonga, and top seed and defending champion Novak Djoković. This was the first time in his career he had beaten Djokovic and the first time he had defeated a world No. 1 player. In the final, he lost to Andy Murray in straight sets.
Bautista Agut finished 2016 ranked No. 14 in the world.
Subsections (0):

Section: 2017: Two 250 titles (2):
He began his 2017 season in Chennai where he made it all the way to the final. In the final, Bautista Agut beat Daniil Medvedev in straight sets, securing his fifth career title.
At the Wimbledon Championships, Bautista Agut was the 18th seed. He went on to beat Andreas Haider-Maurer, and Peter Gojowczyk, on his way to a third round meeting with ninth seed Kei Nishikori. Bautista Agut caused an upset beating Nishikori for the first time and claiming his seventh top-ten scalp of his career. However, he wasn't able to win back to back top-ten victories, after succumbing to a straight-sets defeat against Marin Čilić in the fourth round.
In the Rogers Cup, Bautista Agut demonstrated his best Masters 1000 performance for the year. After winning his first two matches, he took on Gaël Monfils in the third round. After losing the first set, Bautista Agut was able to secure an unlikely victory, securing his first win over the Frenchman in three tight sets. However, he then was unable to break his winless drought against Roger Federer, in the quarterfinals, losing in straight-sets.
A couple of weeks later, Bautista Agut took part in the Winston-Salem Open. He won all of his matches, without dropping a set, to win his second 250 title of the year, and sixth of his career.
Bautista Agut finished the year ranked No. 20 in the world.
Subsections (0):

Section: 2018: Champion in Dubai (2):
In Auckland, he made it to his 13th ATP final appearance. In the final, Bautista Agut took on second seed Juan Martín del Potro, who had yet to drop a set in the tournament. He went on to beat his opponent in three sets, clinching his second Auckland title, and ending a three-match losing streak against the tall Argentine.
Bautista Agut lost in the first round of the Australian Open, meaning that his streak of ten consecutive third round appearances in majors came to an end. It was also his first loss in the opening round of a major since the end of the 2012 season, marking 20 consecutive majors where he won his opening match.
In March, he won his biggest title yet in the ATP 500 tournament in Dubai, losing only one set along the way and beating in-form Lucas Pouille in the final. Bautista Agut also became the first player outside the top ten, to win the event since Fabrice Santoro in 2002.He finished the year ranked No. 24 in the world.
Subsections (0):

Section: 2019: Wimbledon semifinal, top 10, Davis Cup title (2):
Bautista Agut opened his season as the seventh seed at the Qatar Open. He defeated Matteo Berrettini, qualifier Guillermo García López, and three-time major champion Stan Wawrinka before facing world number one Novak Djokovic in the semifinals, whom he defeated in three close sets. In the final, he prevailed over veteran Tomáš Berdych to claim the title.At the Australian Open, he first faced former world number one and five-time Australia Open finalist Andy Murray, defeating him in a grueling five-set contest. In the second round, Bautista Agut defeated John Millman in another five-setter. In the third, he prevailed over tenth seed Karen Khachanov in straight sets to reach the fourth round of a Grand Slam event for the tenth time in his career. He reached his first Grand Slam quarterfinal, after he defeated the sixth-seed Marin Čilić, in five sets. In the quarterfinals, he was defeated by 14th seed Stefanos Tsitsipas, who was fresh off a victory over defending champion Roger Federer, in four sets. With this performance, he earned enough points to re-enter the top 20 in the ATP rankings.
Bautista Agut beat top seed Djokovic yet again at the Miami Masters. At Wimbledon, he reached his second major quarterfinal after victories over Peter Gojowczyk, Steve Darcis, world No. 9 Karen Khachanov, and Benoît Paire. He was the only player in the draw not to lose a set leading into the quarterfinals. Despite losing his first set in the quarterfinals, Bautista Agut defeated Guido Pella in four sets to reach his first Grand Slam semifinal. However, he was defeated by Djokovic in four sets.
Following back to back quarterfinal appearances at the Montreal and Cincinnati Masters events, he broke into the world's top ten for the first time in his career.
Subsections (0):

Section: 2020: Inaugural ATP Cup finalist, Masters semifinal, 300th career win (2):
Bautista Agut started the year with the 2020 Australian Open as the 9th seed, where he beat Feliciano Lopez and Michael Mmoh before losing to Marin Cilic in five sets in the third round, a rematch of the 2019 fourth round match. He lost in the second round at Rotterdam to Pablo Carreno Busta and in the first mround in Dubai to Jan-Lennard Struff.
Seeded 8th at the Cincinnati Masters, he reached the semifinals, beating 11th seed Karen Khachanov and 3rd seed Daniil Medvedev before losing to top seed Novak Djokovic in three sets.
At the 2020 US Open, Bautista Agut was also seeded 8th. He beat Tennys Sandgren for his 300th career win and Miomir Kecmanovic before being upset in the third round by Canadian Vasek Pospisil.
Subsections (0):

Section: 2021: Two finals, Wimbledon fourth round (2):
Bautista Agut made two finals in the early hardcourt season in Montpellier and Doha, where he was defeated by David Goffin and Nikoloz Basilashvili respectively. To reach the final in Doha, Bautista Agut beat two top ten players, Dominic Thiem and Andrey Rublev. This marked the first time where he defeated two top-ten players in a single tournament.
Seeded 8th, he reached the fourth round at the 2021 Wimbledon Championships defeating John Millman, Miomir Kecmanović and Dominik Koepfer before losing to eventual semifinalist Denis Shapovalov.
Subsections (0):

Section: 2022: Second ATP Cup Final, 350th career win, 11th title (2):
Bautista Agut has played a pivotal role in Spain's 2022 ATP Cup journey, by winning all of his three singles matches in the group stage. He then beat Hubert Hurkacz of Poland in the semi finals in 3 sets to lead Spain into the final. In the final, Bautista Agut suffered the decisive loss to Félix Auger-Aliassime as Team Canada won the title.
Bautista Agut reached the final of the 2022 Qatar ExxonMobil Open in Doha again to set a rematch with Nikoloz Basilashvili. He won the Doha title for the second time and his tenth in his career. Also in February he recorded his 350th win.At the 2022 Generali Open Kitzbühel he won his eleventh title defeating wildcard debutant Filip Misolic.
Subsections (0):
"
Aljaz Bedene,"Section: Early and personal life (1):
Bedene's father, Branko, is a dental industry worker and his mother, Darlen, works for the Ministry of Defence. Aljaž and his younger twin brother, Andraž used to compete for Slovenia's top tennis honours. The two met regularly in competition finals. His nickname is Ali or Benke, and he speaks English, Slovenian and Croatian. Andraž Bedene is a former ATP tour player.In 2008, Aljaž made the decision to pursue his tennis career in the UK because he felt it was stagnating under the limitations he encountered in Slovenia. He ended a seven-year wait to become a British citizen on 26 March 2015 and became British no. 2 behind Andy Murray.
Aljaž has lived in Welwyn Garden City since 2008 with his girlfriend, pop star Kimalie, formerly part of the Slovenian group Foxy Teens. Bedene is based at the Global Tennis Connections Academy in Gosling.In January 2018 Bedene began representing his birth nation of Slovenia again.
Subsections (0):
"
Thomaz Bellucci,"Section: Playing style (1):
Thomaz's playing style relies on using the heavy topspin of his forehand to control the points. He lacks outright power to produce a lot of aces, but he has excellent spin on his serve, allowing him to force his opponents off of the court which leads to him taking the offensive at the beginning of the point. His two-handed backhand is much more compact than his forehand, and is flatter, which allows him to take balls earlier on his backhand wing and drive the ball for winners. His preferred court is clay, but shows the adaptive potential to get much better at faster courts as well . He is one of the players who generally play the South American and European Summer clay court swings.
Subsections (0):
"
