date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry
6/27/22,Wimbledon,G,5,G,FALSE,F,Novak Djokovic,1,Serbia,SRB,3,6,2384,Nick Kyrgios,Australia,AUS,40,-6,2136,4-6 6-3 6-4 7-6(3),,,,,
6/27/22,Wimbledon,G,5,G,FALSE,SF,Novak Djokovic,1,Serbia,SRB,3,4,2380,Cameron Norrie,United Kingdom,GBR,12,-4,2084,2-6 6-3 6-2 6-4,9,,,,
6/27/22,Wimbledon,G,5,G,FALSE,QF,Novak Djokovic,1,Serbia,SRB,3,6,2374,Jannik Sinner,Italy,ITA,13,-6,2155,5-7 2-6 6-3 6-2 6-2,10,,,,
6/27/22,Wimbledon,G,5,G,FALSE,R16,Novak Djokovic,1,Serbia,SRB,3,2,2372,Tim Van Rijthoven,Netherlands,NED,194,-1,1871,6-2 4-6 6-1 6-2,,WC,,,
6/27/22,Wimbledon,G,5,G,FALSE,R32,Novak Djokovic,1,Serbia,SRB,3,2,2370,Miomir Kecmanovic,Serbia,SRB,30,-3,1970,6-0 6-3 6-4,25,,,,
6/27/22,Wimbledon,G,5,G,FALSE,R64,Novak Djokovic,1,Serbia,SRB,3,2,2368,Thanasi Kokkinakis,Australia,AUS,79,-2,1908,6-1 6-4 6-2,,,,,
6/27/22,Wimbledon,G,5,G,FALSE,R128,Novak Djokovic,1,Serbia,SRB,3,1,2367,Soon Woo Kwon,"Korea, Republic of",KOR,81,-2,1838,6-3 3-6 6-3 6-4,,,,,
5/22/22,Roland Garros,G,5,C,FALSE,QF,Rafael Nadal,5,Spain,ESP,5,14,2371,Novak Djokovic,Serbia,SRB,1,-14,2381,6-2 4-6 6-2 7-6(4),1,,,,
5/22/22,Roland Garros,G,5,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,1,3,2378,Diego Sebastian Schwartzman,Argentina,ARG,16,-3,2054,6-1 6-3 6-3,15,,,,
5/22/22,Roland Garros,G,5,C,FALSE,R32,Novak Djokovic,1,Serbia,SRB,1,1,2377,Aljaz Bedene,Slovenia,SLO,175,-2,1878,6-3 6-3 6-2,,,,,
5/22/22,Roland Garros,G,5,C,FALSE,R64,Novak Djokovic,1,Serbia,SRB,1,2,2375,Alex Molcan,Slovakia,SVK,47,-2,1920,6-2 6-3 7-6(4),,,,,
5/22/22,Roland Garros,G,5,C,FALSE,R128,Novak Djokovic,1,Serbia,SRB,1,1,2374,Yoshihito Nishioka,Japan,JPN,94,-1,1814,6-3 6-1 6-0,,,,,
5/8/22,Rome Masters,M,3,C,FALSE,F,Novak Djokovic,1,Serbia,SRB,1,7,2367,Stefanos Tsitsipas,Greece,GRE,5,-7,2212,6-0 7-6(5),4,,39,,
5/8/22,Rome Masters,M,3,C,FALSE,SF,Novak Djokovic,1,Serbia,SRB,1,4,2363,Casper Ruud,Norway,NOR,7,-5,2117,6-4 6-3,5,,39,,
5/8/22,Rome Masters,M,3,C,FALSE,QF,Novak Djokovic,1,Serbia,SRB,1,4,2359,Felix Auger Aliassime,Canada,CAN,10,-4,2088,7-5 7-6(1),8,,39,,
5/8/22,Rome Masters,M,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,1,3,2356,Stan Wawrinka,Switzerland,SUI,189,-3,2034,6-2 6-2,,PR,39,,
5/8/22,Rome Masters,M,3,C,FALSE,R32,Novak Djokovic,1,Serbia,SRB,1,1,2355,Aslan Karatsev,Russian Federation,RUS,34,-2,1905,6-3 6-2,,,39,,
5/1/22,Madrid Masters,M,3,C,FALSE,SF,Carlos Alcaraz Garfia,7,Spain,ESP,9,17,2173,Novak Djokovic,Serbia,SRB,1,-17,2372,6-7(5) 7-5 7-6(5),1,,59,,
5/1/22,Madrid Masters,M,3,C,FALSE,QF,Novak Djokovic,1,Serbia,SRB,1,4,2368,Hubert Hurkacz,Poland,POL,14,-4,2077,6-3 6-4,12,,59,,
5/1/22,Madrid Masters,M,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,1,1,2367,Andy Murray,United Kingdom,GBR,81,-2,2041,W/O,,WC,59,W/O,
5/1/22,Madrid Masters,M,3,C,FALSE,R32,Novak Djokovic,1,Serbia,SRB,1,2,2365,Gael Monfils,France,FRA,21,-3,2029,6-3 6-2,,,59,,
4/18/22,Belgrade,B,3,C,FALSE,F,Andrey Rublev,2,Russian Federation,RUS,8,16,2135,Novak Djokovic,Serbia,SRB,1,-16,2381,6-2 6-7(4) 6-0,1,,32,,
4/18/22,Belgrade,B,3,C,FALSE,SF,Novak Djokovic,1,Serbia,SRB,1,2,2379,Karen Khachanov,Russian Federation,RUS,26,-2,2003,4-6 6-1 6-2,3,,32,,
4/18/22,Belgrade,B,3,C,FALSE,QF,Novak Djokovic,1,Serbia,SRB,1,2,2377,Miomir Kecmanovic,Serbia,SRB,38,-2,1965,4-6 6-3 6-3,7,,32,,
4/18/22,Belgrade,B,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,1,,2377,Laslo Djere,Serbia,SRB,50,-1,1868,2-6 7-6(6) 7-6(4),,,32,,
4/10/22,Monte Carlo Masters,M,3,C,FALSE,R32,Alejandro Davidovich Fokina,,Spain,ESP,45,23,1901,Novak Djokovic,Serbia,SRB,1,-18,2395,6-3 6-7(5) 6-1,1,,27,,
2/21/22,Dubai,A,3,H,FALSE,QF,Jiri Vesely,,Czech Republic,CZE,123,30,1790,Novak Djokovic,Serbia,SRB,1,-18,2413,6-4 7-6(4),1,,76,,Q
2/21/22,Dubai,A,3,H,FALSE,R16,Novak Djokovic,1,Serbia,SRB,1,1,2412,Karen Khachanov,Russian Federation,RUS,26,-2,2030,6-3 7-6(2),,,76,,
2/21/22,Dubai,A,3,H,FALSE,R32,Novak Djokovic,1,Serbia,SRB,1,1,2411,Lorenzo Musetti,Italy,ITA,58,-1,1837,6-3 6-3,,WC,76,,
12/3/21,Davis Cup Finals,D,3,H,TRUE,SF,Novak Djokovic,,Serbia,SRB,1,2,2410,Marin Cilic,Croatia,CRO,30,-2,2005,6-4 6-2,,,,,
12/1/21,Davis Cup Finals,D,3,H,TRUE,QF,Novak Djokovic,,Serbia,SRB,1,,2410,Alexander Bublik,Kazakhstan,KAZ,36,-1,1916,6-3 6-4,,,,,
11/27/21,Davis Cup Finals,D,3,H,TRUE,RR,Novak Djokovic,,Serbia,SRB,1,1,2409,Jan Lennard Struff,Germany,GER,51,-1,1895,6-2 6-4,,,,,
11/26/21,Davis Cup Finals,D,3,H,TRUE,RR,Novak Djokovic,,Serbia,SRB,1,1,2408,Dennis Novak,Austria,AUT,118,-1,1730,6-3 6-2,,,,,
11/14/21,Tour Finals,F,3,H,TRUE,SF,Alexander Zverev,3,Germany,GER,3,16,2273,Novak Djokovic,Serbia,SRB,1,-17,2425,7-6(4) 4-6 6-3,1,,100,,
11/14/21,Tour Finals,F,3,H,TRUE,RR,Novak Djokovic,1,Serbia,SRB,1,3,2422,Casper Ruud,Norway,NOR,8,-3,2106,7-6(4) 6-2,8,,100,,
11/14/21,Tour Finals,F,3,H,TRUE,RR,Novak Djokovic,1,Serbia,SRB,1,3,2419,Andrey Rublev,Russian Federation,RUS,5,-3,2094,6-3 6-2,5,,100,,
11/14/21,Tour Finals,F,3,H,TRUE,RR,Novak Djokovic,1,Serbia,SRB,1,3,2416,Cameron Norrie,United Kingdom,GBR,12,-3,2072,6-2 6-1,10,AL,100,,
11/1/21,Paris Masters,M,3,H,TRUE,F,Novak Djokovic,1,Serbia,SRB,1,8,2408,Daniil Medvedev,Russian Federation,RUS,2,-8,2295,4-6 6-3 6-3,2,,70,,
11/1/21,Paris Masters,M,3,H,TRUE,SF,Novak Djokovic,1,Serbia,SRB,1,3,2405,Hubert Hurkacz,Poland,POL,10,-3,2058,3-6 6-0 7-6(5),7,,70,,
11/1/21,Paris Masters,M,3,H,TRUE,QF,Novak Djokovic,1,Serbia,SRB,1,2,2403,Taylor Harry Fritz,United States,USA,26,-2,2022,6-4 6-3,,,70,,
11/1/21,Paris Masters,M,3,H,TRUE,R16,Novak Djokovic,1,Serbia,SRB,1,1,2402,Gael Monfils,France,FRA,22,-1,2002,W/O,15,,70,W/O,
