,Unnamed: 0,OpponentId,Double Faults,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
2,2,A678,1792,3096,0.66,7896,0.87,0.68,3510,0.36,7819,0.16,0.34,0.51
7,7,BD06,1096,3661,0.62,7054,0.8,0.64,4437,0.42,6925,0.27,0.4,0.52
10,10,b747,1881,3962,0.59,6944,0.76,0.62,3944,0.39,6996,0.22,0.37,0.5
12,12,BA47,2287,4930,0.64,11492,0.84,0.67,6535,0.42,11307,0.24,0.38,0.52
15,15,CD85,811,3001,0.61,5476,0.79,0.63,3264,0.41,5476,0.25,0.38,0.51
17,17,cf01,447,1275,0.57,2204,0.75,0.61,1106,0.36,2181,0.18,0.35,0.48
19,19,c977,2536,4926,0.64,10852,0.84,0.66,6322,0.38,10721,0.23,0.38,0.52
21,21,da81,411,1267,0.59,1843,0.72,0.6,980,0.39,1847,0.21,0.35,0.48
22,22,DH50,363,1016,0.56,1590,0.72,0.6,1053,0.4,1603,0.27,0.39,0.5
23,23,d402,2041,5215,0.6,9187,0.77,0.63,6335,0.44,9246,0.3,0.41,0.52
24,24,d683,1365,3007,0.64,7187,0.85,0.67,4410,0.42,7197,0.26,0.39,0.52
27,27,d875,2119,3634,0.63,7690,0.82,0.66,4317,0.39,7578,0.22,0.37,0.51
31,31,e831,587,1437,0.63,2826,0.81,0.64,1506,0.38,2792,0.21,0.36,0.5
32,32,E687,636,1613,0.61,2751,0.77,0.63,1568,0.41,2783,0.23,0.38,0.5
33,33,F324,2759,6459,0.67,18872,0.89,0.7,11948,0.41,18475,0.27,0.4,0.54
34,34,f401,2790,7246,0.6,12902,0.78,0.63,9212,0.44,12766,0.31,0.42,0.52
42,42,g628,2226,5210,0.61,11131,0.82,0.65,6607,0.41,10954,0.24,0.38,0.52
43,43,G676,792,1949,0.58,3179,0.74,0.61,1701,0.37,3236,0.19,0.36,0.48
44,44,gb88,1749,3456,0.6,6071,0.77,0.63,4070,0.41,6143,0.27,0.4,0.51
48,48,G858,1916,2928,0.64,5654,0.81,0.65,2853,0.37,5653,0.19,0.35,0.5
49,49,h355,3375,5263,0.62,10836,0.82,0.65,6230,0.4,10643,0.23,0.38,0.51
56,56,i186,1721,2974,0.71,10685,0.92,0.72,3550,0.3,10574,0.1,0.3,0.51
57,57,i165,785,2956,0.62,5492,0.79,0.64,2645,0.38,5469,0.18,0.35,0.5
60,60,KC56,427,727,0.61,1278,0.78,0.63,793,0.39,1287,0.24,0.38,0.5
61,61,KE29,943,2201,0.64,4435,0.82,0.65,2326,0.4,4446,0.21,0.37,0.51
62,62,K966,993,2170,0.61,3336,0.75,0.61,1861,0.42,3354,0.23,0.37,0.49
64,64,K435,1746,4999,0.63,10021,0.81,0.65,5576,0.4,10117,0.22,0.37,0.51
65,65,KB05,443,1630,0.61,2681,0.76,0.62,1511,0.42,2682,0.23,0.37,0.5
68,68,ke17,1025,1360,0.67,3920,0.89,0.69,1616,0.39,3908,0.16,0.33,0.51
70,70,l397,3365,5949,0.65,12609,0.84,0.66,5467,0.35,12661,0.15,0.33,0.5
73,73,MM58,1228,1940,0.63,4353,0.84,0.66,2733,0.42,4358,0.26,0.39,0.52
79,79,mc10,2305,5473,0.62,11320,0.82,0.65,8021,0.43,11223,0.31,0.41,0.53
81,81,n409,2093,6353,0.66,14889,0.86,0.67,11007,0.45,14741,0.34,0.42,0.55
82,82,N289,1488,5134,0.6,8544,0.76,0.62,5057,0.42,8519,0.25,0.38,0.5
83,83,N552,1615,3944,0.61,7572,0.8,0.64,5076,0.41,7621,0.27,0.4,0.52
85,85,PD31,2754,4252,0.6,6586,0.74,0.6,3880,0.4,6608,0.23,0.38,0.49
89,89,Q927,2377,3664,0.63,9034,0.85,0.67,4138,0.37,8912,0.17,0.34,0.51
93,93,r419,2041,5859,0.61,10649,0.78,0.63,6612,0.41,10721,0.25,0.39,0.51
95,95,RE44,916,2004,0.62,4035,0.81,0.65,2493,0.4,4050,0.25,0.39,0.52
101,101,SD32,2019,6467,0.6,10777,0.76,0.62,6717,0.42,10686,0.27,0.4,0.51
104,104,sa49,1372,2513,0.63,5703,0.84,0.66,3154,0.43,5597,0.24,0.38,0.52
105,105,SU87,346,1090,0.63,2197,0.81,0.65,1090,0.37,2182,0.19,0.35,0.5
107,107,s694,2017,4062,0.62,8093,0.81,0.64,4562,0.4,8130,0.23,0.38,0.51
109,109,TB69,1334,2825,0.63,6061,0.83,0.66,3633,0.39,6080,0.23,0.38,0.51
110,110,T742,1244,3156,0.61,6162,0.8,0.64,3322,0.4,6178,0.21,0.37,0.5
112,112,t840,1338,3697,0.6,6455,0.77,0.63,3697,0.41,6496,0.23,0.38,0.5
113,113,TE51,781,1760,0.65,4430,0.86,0.68,2304,0.4,4335,0.21,0.36,0.52
114,114,T786,1628,3476,0.67,8744,0.87,0.68,4355,0.4,8669,0.2,0.36,0.52
115,115,V708,1064,1818,0.63,3562,0.81,0.65,1756,0.37,3574,0.18,0.35,0.5
116,116,W367,2150,5250,0.64,10918,0.83,0.65,6191,0.39,10740,0.23,0.37,0.51
117,117,Y061,2326,6214,0.6,10851,0.77,0.62,6639,0.41,10825,0.25,0.39,0.51
119,119,z355,1973,2709,0.61,6037,0.82,0.66,3631,0.42,6045,0.25,0.38,0.52
