,index,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,A0E2,357,247,0.64,0.71,0.55,671,0.63,1304,0.81,0.65,0.34,0.53,980,0.41,1315,0.3,0.41,0.53
1,A479,5493,1668,0.58,0.75,0.53,3789,0.62,8229,0.82,0.66,0.29,0.5,4608,0.39,8185,0.22,0.37,0.51
2,A678,7683,1792,0.64,0.77,0.53,3096,0.66,7896,0.87,0.68,0.26,0.47,3510,0.36,7819,0.16,0.34,0.51
3,A596,643,1277,0.64,0.65,0.48,3203,0.57,4620,0.7,0.59,0.31,0.52,2940,0.4,4670,0.25,0.39,0.49
4,AG37,2115,966,0.64,0.75,0.5,1369,0.63,2854,0.82,0.66,0.3,0.48,1529,0.37,2811,0.2,0.37,0.51
5,B837,4353,1953,0.53,0.75,0.52,3780,0.6,7471,0.8,0.64,0.29,0.5,4225,0.4,7490,0.23,0.38,0.51
6,be67,262,97,0.58,0.69,0.52,349,0.62,569,0.76,0.62,0.26,0.46,271,0.39,578,0.19,0.34,0.48
7,BD06,1803,1096,0.66,0.7,0.54,3661,0.62,7054,0.8,0.64,0.31,0.53,4437,0.42,6925,0.27,0.4,0.52
8,bh09,2424,876,0.57,0.74,0.49,1968,0.59,3656,0.78,0.63,0.28,0.48,1864,0.39,3697,0.2,0.36,0.49
9,bd20,2299,1231,0.58,0.7,0.51,2718,0.59,4743,0.77,0.62,0.29,0.5,2676,0.39,4791,0.22,0.37,0.5
10,b747,3323,1881,0.64,0.69,0.49,3962,0.59,6944,0.76,0.62,0.29,0.5,3944,0.39,6996,0.22,0.37,0.5
11,BE90,1058,853,0.57,0.7,0.51,1786,0.59,3103,0.77,0.62,0.27,0.49,1651,0.37,3137,0.19,0.36,0.49
12,BA47,7184,2287,0.58,0.77,0.52,4930,0.64,11492,0.84,0.67,0.29,0.52,6535,0.42,11307,0.24,0.38,0.52
13,BK40,2014,412,0.63,0.78,0.53,1065,0.69,2691,0.88,0.69,0.28,0.46,1327,0.36,2694,0.18,0.35,0.52
14,b676,3475,1651,0.58,0.73,0.51,3876,0.61,7381,0.8,0.64,0.3,0.51,4363,0.42,7309,0.25,0.39,0.51
15,CD85,1782,811,0.65,0.69,0.52,3001,0.61,5476,0.79,0.63,0.29,0.52,3264,0.41,5476,0.25,0.38,0.51
16,CE25,209,175,0.6,0.65,0.49,555,0.59,772,0.7,0.59,0.27,0.51,452,0.36,786,0.21,0.36,0.48
17,cf01,770,447,0.66,0.68,0.49,1275,0.57,2204,0.75,0.61,0.28,0.48,1106,0.36,2181,0.18,0.35,0.48
18,CA12,4786,2486,0.6,0.74,0.5,3860,0.63,7425,0.81,0.64,0.27,0.48,3767,0.37,7471,0.19,0.35,0.5
19,c977,7815,2536,0.57,0.77,0.52,4926,0.64,10852,0.84,0.66,0.3,0.5,6322,0.38,10721,0.23,0.38,0.52
20,CG80,1862,686,0.62,0.72,0.53,1904,0.62,3829,0.81,0.65,0.27,0.5,2051,0.38,3850,0.2,0.36,0.5
21,da81,580,411,0.63,0.67,0.48,1267,0.59,1843,0.72,0.6,0.27,0.49,980,0.39,1847,0.21,0.35,0.48
22,DH50,287,363,0.67,0.65,0.5,1016,0.56,1590,0.72,0.6,0.32,0.51,1053,0.4,1603,0.27,0.39,0.5
23,d402,2527,2041,0.67,0.68,0.51,5215,0.6,9187,0.77,0.63,0.33,0.53,6335,0.44,9246,0.3,0.41,0.52
24,d683,4418,1365,0.64,0.74,0.53,3007,0.64,7187,0.85,0.67,0.3,0.52,4410,0.42,7197,0.26,0.39,0.52
25,D874,1252,1187,0.61,0.69,0.51,2517,0.6,4215,0.76,0.62,0.29,0.5,2350,0.4,4239,0.22,0.37,0.49
26,D616,449,207,0.6,0.67,0.5,911,0.59,1377,0.73,0.6,0.28,0.5,790,0.4,1394,0.23,0.37,0.49
27,d875,4081,2119,0.62,0.74,0.51,3634,0.63,7690,0.82,0.66,0.3,0.49,4317,0.39,7578,0.22,0.37,0.51
28,D646,2050,806,0.59,0.72,0.49,1699,0.6,3045,0.78,0.63,0.29,0.49,1546,0.41,3033,0.21,0.37,0.5
29,D801,3148,1135,0.55,0.75,0.51,2565,0.6,5001,0.79,0.64,0.29,0.49,2770,0.4,5016,0.22,0.37,0.5
30,d923,584,644,0.64,0.65,0.49,1856,0.56,2763,0.71,0.59,0.31,0.5,1713,0.43,2812,0.26,0.39,0.49
