Hard,Clay,Carpet,Grass,best_of,minutes,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stWon,opp_2ndWon,opp_bpSaved,opp_bpFaced
0.0,1.0,0.0,0.0,0.0,146.0,0.0,173.0,26.7,0.0,2.0,93.0,40.0,16.0,7.0,10.0
1.0,0.0,0.0,0.0,0.0,19.0,0.0,198.0,24.2,0.0,1.0,20.0,8.0,1.0,3.0,5.0
1.0,0.0,0.0,0.0,0.0,105.0,1.0,180.0,27.1,4.0,2.0,74.0,34.0,12.0,6.0,8.0
1.0,0.0,0.0,0.0,0.0,105.0,1.0,175.0,24.8,5.0,5.0,90.0,38.0,14.0,6.0,9.0
0.0,1.0,0.0,0.0,0.0,63.0,0.0,190.0,32.1,1.0,1.0,41.0,17.0,7.0,1.0,4.0
0.0,1.0,0.0,0.0,1.0,78.0,0.0,183.0,22.6,4.0,4.0,80.0,22.0,11.0,7.0,16.0
0.0,0.0,1.0,0.0,1.0,113.0,0.0,185.0,21.2,4.0,5.0,97.0,44.0,18.0,7.0,10.0
0.0,0.0,1.0,0.0,1.0,248.0,0.0,188.0,22.0,6.0,5.0,182.0,76.0,33.0,10.0,17.0
0.0,0.0,0.0,1.0,1.0,237.0,0.0,193.0,18.9,22.0,5.0,147.0,67.0,39.0,1.0,3.0
0.0,0.0,0.0,1.0,1.0,207.0,0.0,196.0,21.4,8.0,3.0,133.0,64.0,20.0,8.0,13.0
0.0,0.0,0.0,1.0,0.0,98.0,0.0,185.0,20.3,5.0,3.0,82.0,37.0,15.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,131.0,0.0,190.0,19.4,5.0,2.0,86.0,27.0,27.0,3.0,6.0
1.0,0.0,0.0,0.0,0.0,79.0,0.0,183.0,25.9,3.0,8.0,68.0,17.0,16.0,6.0,11.0
1.0,0.0,0.0,0.0,0.0,83.0,0.0,185.0,27.1,4.0,2.0,53.0,22.0,9.0,4.0,7.0
1.0,0.0,0.0,0.0,0.0,60.0,0.0,193.0,20.4,10.0,2.0,44.0,20.0,7.0,1.0,4.0
0.0,1.0,0.0,0.0,0.0,82.0,0.0,180.0,23.7,0.0,3.0,60.0,12.0,15.0,5.0,10.0
0.0,1.0,0.0,0.0,0.0,86.0,0.0,178.0,30.4,1.0,2.0,73.0,24.0,17.0,9.0,12.0
0.0,1.0,0.0,0.0,0.0,75.0,0.0,188.0,29.2,1.0,2.0,61.0,27.0,6.0,4.0,7.0
0.0,1.0,0.0,0.0,0.0,38.0,0.0,175.0,24.5,0.0,5.0,21.0,4.0,3.0,0.0,3.0
0.0,1.0,0.0,0.0,0.0,162.0,0.0,183.0,26.7,11.0,4.0,89.0,27.0,25.0,7.0,10.0
0.0,0.0,0.0,1.0,0.0,66.0,0.0,178.0,30.6,2.0,0.0,49.0,21.0,11.0,1.0,3.0
