Hard,Clay,Carpet,Grass,best_of,minutes,opponent_name,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_SvGms,opp_bpSaved,opp_bpFaced,DJOK,djok_hand,djok_ht,djok_age,djok_ace,djok_df,djok_svpt,djok_1stIn,djok_1stWon,djok_2ndWon,djok_SvGms,djok_bpSaved,djok_bpFaced,Target
0.0,1.0,0.0,0.0,0.0,146.0,Arnaud Clement,0.0,173.0,26.7,0.0,2.0,93.0,62.0,40.0,16.0,14.0,7.0,10.0,Novak Djokovic,1.0,188.0,17.3,4.0,2.0,91.0,60.0,39.0,19.0,14.0,2.0,5.0,True
1.0,0.0,0.0,0.0,0.0,19.0,Victor Hanescu,0.0,198.0,24.2,0.0,1.0,20.0,12.0,8.0,1.0,3.0,3.0,5.0,Novak Djokovic,1.0,188.0,18.4,1.0,1.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,True
1.0,0.0,0.0,0.0,0.0,105.0,Mariano Puerta,1.0,180.0,27.1,4.0,2.0,74.0,49.0,34.0,12.0,10.0,6.0,8.0,Novak Djokovic,1.0,188.0,18.4,12.0,2.0,82.0,51.0,38.0,19.0,11.0,4.0,5.0,True
1.0,0.0,0.0,0.0,0.0,105.0,Ricardo Mello,1.0,175.0,24.8,5.0,5.0,90.0,65.0,38.0,14.0,11.0,6.0,9.0,Novak Djokovic,1.0,188.0,18.4,4.0,3.0,80.0,51.0,37.0,12.0,11.0,5.0,7.0,True
0.0,1.0,0.0,0.0,0.0,63.0,Alex Calatrava,0.0,190.0,32.1,1.0,1.0,41.0,25.0,17.0,7.0,8.0,1.0,4.0,Novak Djokovic,1.0,188.0,18.1,1.0,0.0,52.0,36.0,26.0,13.0,9.0,4.0,4.0,True
0.0,1.0,0.0,0.0,1.0,78.0,Robby Ginepri,0.0,183.0,22.6,4.0,4.0,80.0,45.0,22.0,11.0,11.0,7.0,16.0,Novak Djokovic,1.0,188.0,18.0,6.0,2.0,58.0,39.0,29.0,12.0,10.0,1.0,2.0,True
0.0,0.0,1.0,0.0,1.0,113.0,Juan Monaco,0.0,185.0,21.2,4.0,5.0,97.0,63.0,44.0,18.0,14.0,7.0,10.0,Novak Djokovic,1.0,188.0,18.0,2.0,5.0,94.0,65.0,53.0,16.0,16.0,2.0,3.0,True
0.0,0.0,1.0,0.0,1.0,248.0,Guillermo Garcia Lopez,0.0,188.0,22.0,6.0,5.0,182.0,108.0,76.0,33.0,26.0,10.0,17.0,Novak Djokovic,1.0,188.0,18.0,8.0,4.0,173.0,105.0,75.0,31.0,26.0,9.0,18.0,True
0.0,0.0,0.0,1.0,1.0,237.0,Gael Monfils,0.0,193.0,18.9,22.0,5.0,147.0,78.0,67.0,39.0,26.0,1.0,3.0,Novak Djokovic,1.0,188.0,18.2,3.0,5.0,179.0,119.0,81.0,29.0,26.0,12.0,16.0,True
0.0,0.0,0.0,1.0,1.0,207.0,Mario Ancic,0.0,196.0,21.4,8.0,3.0,133.0,88.0,64.0,20.0,20.0,8.0,13.0,Novak Djokovic,1.0,188.0,18.2,6.0,4.0,138.0,85.0,64.0,26.0,22.0,3.0,7.0,True
