,OpponentId,OpponentName
3,A0E2,carlos-alcaraz
4,A479,nicolas-almagro
5,A678,kevin-anderson
6,A596,pablo-andujar
7,AG37,felix-auger-aliassime
8,B837,marcos-baghdatis
9,be67,mirza-basic
10,BD06,roberto-bautista-agut
11,bh09,aljaz-bedene
12,bd20,thomaz-bellucci
13,b747,julien-benneteau
14,BE90,ricardas-berankis
15,BA47,tomas-berdych
16,BK40,matteo-berrettini
17,b676,james-blake
18,CD85,pablo-carreno-busta
19,CE25,salvatore-caruso
20,cf01,marco-cecchinato
21,CA12,jeremy-chardy
22,c977,marin-cilic
23,CG80,borna-coric
24,da81,taro-daniel
25,DH50,alejandro-davidovich-fokina
26,d402,nikolay-davydenko
27,d683,juan-martin-del-potro
28,D874,federico-delbonis
29,D616,somdev-devvarman
30,d875,grigor-dimitrov
31,D646,ivan-dodig
32,D801,alexandr-dolgopolov
33,d923,damir-dzumhur
34,e831,kyle-edmund
35,E687,daniel-evans
36,F324,roger-federer
37,f401,david-ferrer
38,f339,mardy-fish
39,F510,fabio-fognini
40,F811,bjorn-fratangelo
41,FB98,taylor-fritz
42,F724,marton-fucsovics
43,g476,guillermo-garcia-lopez
44,GD64,cristian-garin
45,g628,richard-gasquet
46,G676,daniel-gimeno-traver
47,gb88,david-goffin
48,G806,andrey-golubev
49,g892,alejandro-gonzalez
50,G710,marcel-granollers
51,G858,ernests-gulbis
52,h355,tommy-haas
53,H756,robin-haase
54,H804,andreas-haider-maurer
55,h528,victor-hanescu
56,H940,ryan-harrison
57,h996,pierre-hugues-herbert
58,HB71,hubert-hurkacz
59,i186,john-isner
60,i165,denis-istomin
61,J267,malek-jaziri
62,J386,steve-johnson
63,KC56,aslan-karatsev
64,KE29,karen-khachanov
65,K966,martin-klizan
66,KE73,dominik-koepfer
67,K435,philipp-kohlschreiber
68,KB05,filip-krajinovic
69,k540,lukasz-kubot
70,K926,mikhail-kukushkin
71,ke17,nick-kyrgios
72,L987,dusan-lajovic
73,l397,feliciano-lopez
74,ME82,adrian-mannarino
75,MB02,florian-mayer
76,MM58,daniil-medvedev
77,MA21,juan-monaco
78,MC65,gael-monfils
79,M824,albert-montanes
80,MW02,corentin-moutet
81,MA30,gilles-muller
82,mc10,andy-murray
83,M0EJ,lorenzo-musetti
84,n409,rafael-nadal
85,N289,jarkko-nieminen
86,N552,kei-nishikori
87,N771,cameron-norrie
88,PD31,benoit-paire
89,pb22,peter-polansky
90,PD07,vasek-pospisil
91,PF39,lucas-pouille
92,Q927,sam-querrey
93,R772,albert-ramos-vinolas
94,r975,milos-raonic
95,R612,stephane-robert
96,r419,tommy-robredo
97,R685,lukas-rosol
98,RE44,andrey-rublev
99,RH16,casper-ruud
100,SL08,tennys-sandgren
101,SM37,diego-schwartzman
102,sa93,andreas-seppi
103,SU55,denis-shapovalov
104,SD32,gilles-simon
105,S0AG,jannik-sinner
106,SM25,jack-sock
107,sa49,robin-soderling
108,SU87,lorenzo-sonego
109,sh90,joao-sousa
110,s694,radek-stepanek
111,SL28,jan-lennard-struff
112,TB69,dominic-thiem
113,T742,janko-tipsarevic
114,TA46,bernard-tomic
115,t840,viktor-troicki
116,TE51,stefanos-tsitsipas
117,T786,jo-wilfried-tsonga
118,V708,jiri-vesely
119,W367,stan-wawrinka
120,Y061,mikhail-youzhny
121,Z168,mischa-zverev
122,z355,alexander-zverev
