,date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry,Unnamed: 0,OpponentId
0,5/22/22,Roland Garros,G,5,C,False,QF,RAFAEL NADAL,5.0,Spain,ESP,5,14.0,2371,Novak Djokovic,Serbia,SRB,1.0,-14.0,2381,6-2 4-6 6-2 7-6(4),1.0,,,,,84,n409
1,5/9/21,Rome Masters,M,3,C,False,F,RAFAEL NADAL,2.0,Spain,ESP,2,14.0,2362,Novak Djokovic,Serbia,SRB,1.0,-13.0,2395,7-5 1-6 6-3,1.0,,43.0,,,84,n409
2,9/28/20,Roland Garros,G,5,C,False,F,RAFAEL NADAL,1.0,Spain,ESP,2,18.0,2394,Novak Djokovic,Serbia,SRB,1.0,-18.0,2442,6-0 6-2 7-5,2.0,,30.0,,,84,n409
3,5/13/19,Rome Masters,M,3,C,False,F,RAFAEL NADAL,2.0,Spain,ESP,2,14.0,2365,Novak Djokovic,Serbia,SRB,1.0,-13.0,2403,6-0 4-6 6-1,1.0,,47.0,,,84,n409
4,5/14/18,Rome Masters,M,3,C,False,SF,RAFAEL NADAL,1.0,Spain,ESP,2,10.0,2368,Novak Djokovic,Serbia,SRB,18.0,-9.0,2331,7-6(4) 6-3,11.0,,51.0,,,84,n409
5,5/8/17,Madrid Masters,M,3,C,False,SF,RAFAEL NADAL,4.0,Spain,ESP,5,16.0,2325,Novak Djokovic,Serbia,SRB,2.0,-16.0,2478,6-2 6-4,2.0,,65.0,,,84,n409
6,5/26/14,Roland Garros,G,5,C,False,F,RAFAEL NADAL,1.0,Spain,ESP,1,19.0,2484,Novak Djokovic,Serbia,SRB,2.0,-19.0,2551,3-6 7-5 6-2 6-4,2.0,,40.0,,,84,n409
7,8/26/13,US Open,G,5,H,False,F,RAFAEL NADAL,2.0,Spain,ESP,2,13.0,2539,Novak Djokovic,Serbia,SRB,1.0,-13.0,2464,6-2 3-6 6-4 6-1,1.0,,54.0,,,84,n409
8,8/5/13,Canada Masters,M,3,H,False,SF,RAFAEL NADAL,4.0,Spain,ESP,4,11.0,2506,Novak Djokovic,Serbia,SRB,1.0,-10.0,2479,6-4 3-6 7-6(2),1.0,,53.0,,,84,n409
9,5/27/13,Roland Garros,G,5,C,False,SF,RAFAEL NADAL,3.0,Spain,ESP,4,14.0,2506,Novak Djokovic,Serbia,SRB,1.0,-13.0,2491,6-4 3-6 6-1 6-7(3) 9-7,1.0,,42.0,,,84,n409
10,5/27/12,Roland Garros,G,5,C,False,F,RAFAEL NADAL,2.0,Spain,ESP,2,17.0,2462,Novak Djokovic,Serbia,SRB,1.0,-17.0,2478,6-4 6-3 2-6 7-5,1.0,,40.0,,,84,n409
11,5/13/12,Rome Masters,M,3,C,False,F,RAFAEL NADAL,2.0,Spain,ESP,3,14.0,2430,Novak Djokovic,Serbia,SRB,1.0,-14.0,2469,7-5 6-3,1.0,,32.0,,,84,n409
12,4/15/12,Monte Carlo Masters,M,3,C,False,F,RAFAEL NADAL,2.0,Spain,ESP,2,15.0,2404,Novak Djokovic,Serbia,SRB,1.0,-15.0,2482,6-3 6-1,1.0,,31.0,,,84,n409
13,11/21/10,Tour Finals,F,3,H,True,RR,RAFAEL NADAL,,Spain,ESP,1,8.0,2405,Novak Djokovic,Serbia,SRB,3.0,-7.0,2302,7-5 6-2,,,90.0,,,84,n409
14,8/30/10,US Open,G,5,H,False,F,RAFAEL NADAL,1.0,Spain,ESP,1,11.0,2413,Novak Djokovic,Serbia,SRB,3.0,-11.0,2309,6-4 5-7 6-4 6-2,3.0,,65.0,,,84,n409
