year,competition,nov_win,locations,in_out,surfaces,competition_rd,OpponentId,OpponentName
2019,ATP Masters 1000 Paris,True,France,Indoor,Hard,SF,D875,Grigor Dimitrov
2018,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,R16,D875,Grigor Dimitrov
2018,London / Queen's Club,True,Great Britain,Outdoor,Grass,R16,D875,Grigor Dimitrov
2016,ATP Masters 1000 Paris,True,France,Indoor,Hard,R16,D875,Grigor Dimitrov
2014,Beijing,True,China,Outdoor,Hard,QF,D875,Grigor Dimitrov
2014,Wimbledon,True,Great Britain,Outdoor,Grass,SF,D875,Grigor Dimitrov
2013,Roland Garros,True,France,Outdoor,Clay,R32,D875,Grigor Dimitrov
2013,ATP Masters 1000 Madrid,False,Spain,Outdoor,Clay,R32,D875,Grigor Dimitrov
2013,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,R32,D875,Grigor Dimitrov
2012,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,R32,D875,Grigor Dimitrov
2012,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,QF,H756,Robin Haase
2010,Basel,True,Switzerland,Indoor,Hard,QF,H756,Robin Haase
2007,US Open,True,"NY, U.S.A.",Outdoor,Hard,R128,H756,Robin Haase
2015,US Open,True,"NY, U.S.A.",Outdoor,Hard,R64,H804,Andreas Haider-Maurer
2015,ATP Masters 1000 Monte Carlo,True,Monaco,Outdoor,Clay,R16,H804,Andreas Haider-Maurer
2014,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,R64,H528,Victor Hanescu
2011,Roland Garros,True,France,Outdoor,Clay,R64,H528,Victor Hanescu
2010,ATP Masters 1000 Canada,True,Canada,Outdoor,Hard,R16,H528,Victor Hanescu
2010,Roland Garros,True,France,Outdoor,Clay,R32,H528,Victor Hanescu
2009,Beijing,True,China,Outdoor,Hard,R32,H528,Victor Hanescu
2008,ATP Masters 1000 Madrid,True,Spain,Indoor,Hard,R32,H528,Victor Hanescu
2005,ATP Masters 1000 Paris,True,France,Indoor,Carpet,R64,H528,Victor Hanescu
2013,Australian Open,True,Australia,Outdoor,Hard,R64,H940,Ryan Harrison
2012,Wimbledon,True,Great Britain,Outdoor,Grass,R64,H940,Ryan Harrison
2011,ATP Masters 1000 Cincinnati,True,"OH, U.S.A.",Outdoor,Hard,R32,H940,Ryan Harrison
2013,ATP Masters 1000 Paris,True,France,Indoor,Hard,R32,H996,Pierre-Hugues Herbert
2022,ATP Masters 1000 Madrid,True,Spain,Outdoor,Clay,QF,HB71,Hubert Hurkacz
2021,ATP Masters 1000 Paris,True,France,Indoor,Hard,SF,HB71,Hubert Hurkacz
2019,Wimbledon,True,Great Britain,Outdoor,Grass,R32,HB71,Hubert Hurkacz
2019,Roland Garros,True,France,Outdoor,Clay,R128,HB71,Hubert Hurkacz
2019,ATP Masters 1000 Shanghai,True,China,Outdoor,Hard,R16,I186,John Isner
2018,Nitto ATP Finals,True,Great Britain,Indoor,Hard,RR,I186,John Isner
2015,Beijing,True,China,Outdoor,Hard,QF,I186,John Isner
2015,ATP Masters 1000 Miami,True,"FL, U.S.A.",Outdoor,Hard,SF,I186,John Isner
2015,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,R16,I186,John Isner
2014,ATP Masters 1000 Indian Wells,True,"CA, U.S.A.",Outdoor,Hard,SF,I186,John Isner
