,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
0,0,2004,2004-1720,Bangkok,0.0,0.0,0.0,1.0,32,A,20040927,7,102615,Dennis Van Scheppingen,1.0,185.0,NED,29.2,104925,Novak Djokovic,0.0,188.0,SRB,17.3,4-6 7-5 6-4,3,R32,112.0,7.0,7.0,88.0,57.0,39.0,18.0,16.0,3.0,7.0,15.0,12.0,118.0,70.0,45.0,22.0,16.0,10.0,15.0,81.0,496.0,248.0,148.0,False
1,1,2004,2004-439,Umag,0.0,1.0,0.0,0.0,32,A,20040719,5,103835,Filippo Volandri,1.0,183.0,ITA,22.8,104925,Novak Djokovic,0.0,188.0,SRB,17.1,7-6(5) 6-1,3,R32,90.0,0.0,7.0,74.0,39.0,22.0,18.0,10.0,6.0,10.0,4.0,6.0,65.0,40.0,20.0,6.0,9.0,2.0,8.0,65.0,630.0,368.0,83.0,False
2,2,2004,2004-773,Bucharest,0.0,1.0,0.0,0.0,32,A,20040913,14,104925,Novak Djokovic,1.0,188.0,SRB,17.3,103096,Arnaud Clement,0.0,173.0,FRA,26.7,2-6 6-4 6-4,3,R32,146.0,4.0,2.0,91.0,60.0,39.0,19.0,14.0,2.0,5.0,0.0,2.0,93.0,62.0,40.0,16.0,14.0,7.0,10.0,272.0,128.0,67.0,623.0,True
3,3,2004,2004-773,Bucharest,0.0,1.0,0.0,0.0,32,A,20040913,23,103970,David Ferrer,1.0,175.0,ESP,22.4,104925,Novak Djokovic,0.0,188.0,SRB,17.3,4-6 6-4 6-4,3,R16,155.0,1.0,2.0,107.0,61.0,34.0,25.0,15.0,14.0,19.0,3.0,1.0,98.0,62.0,37.0,14.0,15.0,5.0,11.0,54.0,714.0,272.0,128.0,False
5,5,2005,2005-352,Paris Masters,1.0,0.0,0.0,0.0,48,M,20051031,5,104925,Novak Djokovic,1.0,188.0,SRB,18.4,103812,Victor Hanescu,0.0,198.0,ROU,24.2,4-1 RET,3,R64,19.0,1.0,1.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,12.0,8.0,1.0,3.0,3.0,5.0,85.0,488.0,37.0,853.0,True
6,6,2005,2005-352,Paris Masters,1.0,0.0,0.0,0.0,48,M,20051031,21,104925,Novak Djokovic,1.0,188.0,SRB,18.4,103264,Mariano Puerta,1.0,180.0,ARG,27.1,6-3 7-6(9),3,R32,105.0,12.0,2.0,82.0,51.0,38.0,19.0,11.0,4.0,5.0,4.0,2.0,74.0,49.0,34.0,12.0,10.0,6.0,8.0,85.0,488.0,9.0,1834.0,True
7,7,2005,2005-352,Paris Masters,1.0,0.0,0.0,0.0,48,M,20051031,35,103990,Tommy Robredo,1.0,180.0,ESP,23.5,104925,Novak Djokovic,0.0,188.0,SRB,18.4,6-4 6-3,3,R16,81.0,6.0,3.0,57.0,33.0,27.0,11.0,9.0,3.0,4.0,4.0,3.0,78.0,41.0,27.0,15.0,10.0,9.0,13.0,21.0,1370.0,85.0,488.0,False
8,8,2005,2005-375,Lyon,1.0,0.0,0.0,0.0,32,A,20051024,15,104925,Novak Djokovic,1.0,188.0,SRB,18.4,103672,Ricardo Mello,1.0,175.0,BRA,24.8,7-6(5) 6-4,3,R32,105.0,4.0,3.0,80.0,51.0,37.0,12.0,11.0,5.0,7.0,5.0,5.0,90.0,65.0,38.0,14.0,11.0,6.0,9.0,88.0,468.0,105.0,398.0,True
9,9,2005,2005-375,Lyon,1.0,0.0,0.0,0.0,32,A,20051024,24,103694,Olivier Rochus,1.0,168.0,BEL,24.7,104925,Novak Djokovic,0.0,188.0,SRB,18.4,7-6(4) 7-5,3,R16,114.0,2.0,1.0,76.0,58.0,46.0,9.0,12.0,1.0,2.0,13.0,3.0,95.0,64.0,44.0,15.0,12.0,9.0,11.0,24.0,1160.0,88.0,468.0,False
10,10,2005,2005-422,Cincinnati Masters,0.0,0.0,0.0,1.0,64,M,20050815,19,103602,Fernando Gonzalez,1.0,183.0,CHI,25.0,104925,Novak Djokovic,0.0,188.0,SRB,18.2,3-6 7-6(7) 6-4,3,R64,127.0,13.0,5.0,97.0,62.0,49.0,16.0,15.0,3.0,5.0,10.0,1.0,92.0,55.0,45.0,20.0,16.0,1.0,3.0,18.0,1385.0,97.0,440.0,False
11,11,2005,2005-439,Umag,0.0,1.0,0.0,0.0,32,A,20050725,14,104925,Novak Djokovic,1.0,188.0,SRB,18.1,102231,Alex Calatrava,0.0,190.0,ESP,32.1,6-1 6-4,3,R32,63.0,1.0,0.0,52.0,36.0,26.0,13.0,9.0,4.0,4.0,1.0,1.0,41.0,25.0,17.0,7.0,8.0,1.0,4.0,97.0,417.0,163.0,259.0,True
12,12,2005,2005-439,Umag,0.0,1.0,0.0,0.0,32,A,20050725,23,103507,Juan Carlos Ferrero,1.0,183.0,ESP,25.4,104925,Novak Djokovic,0.0,188.0,SRB,18.1,6-4 6-2,3,R16,78.0,0.0,2.0,55.0,43.0,30.0,6.0,9.0,2.0,4.0,1.0,6.0,62.0,37.0,22.0,8.0,9.0,10.0,15.0,28.0,1170.0,97.0,417.0,False
13,13,2005,2005-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20050523,34,104925,Novak Djokovic,1.0,188.0,SRB,18.0,104068,Robby Ginepri,0.0,183.0,USA,22.6,6-0 6-0 6-3,5,R128,78.0,6.0,2.0,58.0,39.0,29.0,12.0,10.0,1.0,2.0,4.0,4.0,80.0,45.0,22.0,11.0,11.0,7.0,16.0,153.0,287.0,71.0,550.0,True
14,14,2005,2005-520,Roland Garros,0.0,1.0,0.0,0.0,128,G,20050523,81,103909,Guillermo Coria,1.0,175.0,ARG,23.3,104925,Novak Djokovic,0.0,188.0,SRB,18.0,4-6 6-2 3-2 RET,5,R64,114.0,0.0,7.0,84.0,59.0,37.0,10.0,11.0,8.0,12.0,3.0,3.0,80.0,42.0,23.0,17.0,12.0,5.0,11.0,9.0,2040.0,153.0,287.0,False
15,15,2005,2005-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20050620,54,104925,Novak Djokovic,1.0,188.0,SRB,18.0,104338,Juan Monaco,0.0,185.0,ARG,21.2,6-3 7-6(5) 6-3,5,R128,113.0,2.0,5.0,94.0,65.0,53.0,16.0,16.0,2.0,3.0,4.0,5.0,97.0,63.0,44.0,18.0,14.0,7.0,10.0,128.0,337.0,68.0,577.0,True
16,16,2005,2005-540,Wimbledon,0.0,0.0,1.0,0.0,128,G,20050620,91,104925,Novak Djokovic,1.0,188.0,SRB,18.0,104198,Guillermo Garcia Lopez,0.0,188.0,ESP,22.0,3-6 3-6 7-6(5) 7-6(3) 6-4,5,R64,248.0,8.0,4.0,173.0,105.0,75.0,31.0,26.0,9.0,18.0,6.0,5.0,182.0,108.0,76.0,33.0,26.0,10.0,17.0,128.0,337.0,81.0,513.0,True
