,OpponentId,winner_rank,T_2nd_ad_%ServesWon,M_2nd_ad_%ServesWon,W_2nd_ad_%ServesWon,T_2nd_d_%ServesWon,M_2nd_d_%ServesWon,W_2nd_d_%ServesWon
0,A678,122.0,50.0,20.0,66.7,28.6,33.3,66.7
1,A678,122.0,33.3,50.0,50.0,50.0,33.3,66.7
2,A678,122.0,68.8,33.3,100.0,100.0,40.0,100.0
3,BA47,11.333333333333334,45.5,75.0,75.0,100.0,50.0,50.0
4,BA47,11.333333333333334,40.6,55.6,0.0,0.0,30.0,46.4
5,BA47,11.333333333333334,20.0,25.0,50.0,50.0,36.4,20.0
6,BA47,11.333333333333334,50.0,57.1,100.0,50.0,25.0,18.2
7,BA47,11.333333333333334,66.7,35.7,100.0,0.0,40.7,41.7
8,BD06,22.666666666666668,25.0,50.0,50.0,50.0,37.5,100.0
9,BD06,22.666666666666668,0.0,75.0,22.2,14.3,100.0,50.0
10,BD06,22.666666666666668,0.0,50.0,100.0,50.0,0.0,0.0
11,BD06,22.666666666666668,53.3,50.0,50.0,50.0,44.4,44.4
12,CD85,19.0,100.0,100.0,37.5,80.0,33.3,0.0
13,CD85,19.0,50.0,40.0,50.0,50.0,50.0,0.0
14,DH50,45.0,100.0,20.0,20.0,0.0,80.0,80.0
15,E687,32.0,0.0,30.8,30.8,54.5,55.6,55.6
16,F324,2.3043478260869565,100.0,0.0,100.0,0.0,66.7,66.7
17,F324,2.3043478260869565,64.3,45.5,56.2,57.1,66.7,50.0
18,F324,2.3043478260869565,40.7,50.0,71.4,73.3,41.2,55.2
19,F324,2.3043478260869565,35.3,60.0,100.0,50.0,66.7,91.7
20,F324,2.3043478260869565,50.0,80.0,0.0,25.0,66.7,20.0
21,F324,2.3043478260869565,0.0,60.0,50.0,100.0,60.0,75.0
22,G676,178.0,45.5,0.0,0.0,0.0,70.0,60.0
23,G858,53.0,33.3,53.3,50.0,45.5,85.7,100.0
24,K435,35.0,50.0,0.0,0.0,0.0,50.0,0.0
25,K435,35.0,100.0,50.0,72.7,31.6,64.3,50.0
26,K435,35.0,66.7,42.9,42.9,100.0,25.0,25.0
27,K435,35.0,30.0,40.0,37.5,66.7,37.5,28.6
28,K966,140.0,50.0,50.0,0.0,0.0,53.8,16.7
29,KB05,319.0,0.0,42.1,44.4,30.8,66.7,66.7
30,KE29,18.0,50.0,33.3,0.0,100.0,33.3,0.0
