,OpponentId,OpponentName
0,All,All Players
1,R,Right Handed Players
2,L,Left Handed Players
3,A0E2,Carlos Alcaraz
4,A479,Nicolas Almagro
5,A678,Kevin Anderson
6,A596,Pablo Andujar
7,AG37,Felix Auger-Aliassime
8,B837,Marcos Baghdatis
9,be67,Mirza Basic
10,BD06,Roberto Bautista Agut
11,bh09,Aljaz Bedene
12,bd20,Thomaz Bellucci
13,b747,Julien Benneteau
14,BE90,Ricardas Berankis
15,BA47,Tomas Berdych
16,BK40,Matteo Berrettini
17,b676,James Blake
18,CD85,Pablo Carreno Busta
19,CE25,Salvatore Caruso
20,cf01,Marco Cecchinato
21,CA12,Jeremy Chardy
22,c977,Marin Cilic
23,CG80,Borna Coric
24,da81,Taro Daniel
25,DH50,Alejandro Davidovich Fokina
26,d402,Nikolay Davydenko
27,d683,Juan Martin del Potro
28,D874,Federico Delbonis
29,D616,Somdev Devvarman
30,d875,Grigor Dimitrov
31,D646,Ivan Dodig
32,D801,Alexandr Dolgopolov
33,d923,Damir Dzumhur
34,e831,Kyle Edmund
35,E687,Daniel Evans
36,F324,Roger Federer
37,f401,David Ferrer
38,f339,Mardy Fish
39,F510,Fabio Fognini
40,F811,Bjorn Fratangelo
41,FB98,Taylor Fritz
42,F724,Marton Fucsovics
43,g476,Guillermo Garcia-Lopez
44,GD64,Cristian Garin
45,g628,Richard Gasquet
46,G676,Daniel Gimeno-Traver
47,gb88,David Goffin
48,G806,Andrey Golubev
49,g892,Alejandro Gonzalez
50,G710,Marcel Granollers
51,G858,Ernests Gulbis
52,h355,Tommy Haas
53,H756,Robin Haase
54,H804,Andreas Haider-Maurer
55,h528,Victor Hanescu
56,H940,Ryan Harrison
57,h996,Pierre-Hugues Herbert
58,HB71,Hubert Hurkacz
59,i186,John Isner
60,i165,Denis Istomin
61,J267,Malek Jaziri
62,J386,Steve Johnson
63,KC56,Aslan Karatsev
64,KE29,Karen Khachanov
65,K966,Martin Klizan
66,KE73,Dominik Koepfer
67,K435,Philipp Kohlschreiber
68,KB05,Filip Krajinovic
69,k540,Lukasz Kubot
70,K926,Mikhail Kukushkin
71,ke17,Nick Kyrgios
72,L987,Dusan Lajovic
73,l397,Feliciano Lopez
74,ME82,Adrian Mannarino
75,MB02,Florian Mayer
76,MM58,Daniil Medvedev
77,MA21,Juan Monaco
78,MC65,Gael Monfils
79,M824,Albert Montanes
80,MW02,Corentin Moutet
81,MA30,Gilles Muller
82,mc10,Andy Murray
83,M0EJ,Lorenzo Musetti
84,n409,Rafael Nadal
85,N289,Jarkko Nieminen
86,N552,Kei Nishikori
87,N771,Cameron Norrie
88,PD31,Benoit Paire
89,pb22,Peter Polansky
90,PD07,Vasek Pospisil
91,PF39,Lucas Pouille
92,Q927,Sam Querrey
93,R772,Albert Ramos-Vinolas
94,r975,Milos Raonic
95,R612,Stephane Robert
96,r419,Tommy Robredo
97,R685,Lukas Rosol
98,RE44,Andrey Rublev
99,RH16,Casper Ruud
100,SL08,Tennys Sandgren
101,SM37,Diego Schwartzman
102,sa93,Andreas Seppi
103,SU55,Denis Shapovalov
104,SD32,Gilles Simon
105,S0AG,Jannik Sinner
106,SM25,Jack Sock
107,sa49,Robin Soderling
108,SU87,Lorenzo Sonego
109,sh90,Joao Sousa
110,s694,Radek Stepanek
111,SL28,Jan-Lennard Struff
112,TB69,Dominic Thiem
113,T742,Janko Tipsarevic
114,TA46,Bernard Tomic
115,t840,Viktor Troicki
116,TE51,Stefanos Tsitsipas
117,T786,Jo-Wilfried Tsonga
118,V708,Jiri Vesely
119,W367,Stan Wawrinka
120,Y061,Mikhail Youzhny
121,Z168,Mischa Zverev
122,z355,Alexander Zverev
